STATEFIP,YEAR,MONTH,REGION,COUNTY,AGE,SEX,RACE,BUNBANKED,BACCTEV,BCHECKEV,BCHECK12M,BCHECKREAS,BPAYDAY,BPAYDAYOFT,BPAYDAYREAS,BCHECK30D,BPAYDAY12M,BPAYDAY30D,BINCWHERE,BBILLCASH,BBILLCHECK,BCREDITAPP,BCREDITDENY,BNOACCT,BSAVECACCT,BINC12M,BINTERNET,BPSUPINT,CIHHCOMP,CINETHH,CINETHP,CINTUSE,CINTOUT,CINTOTHH,CINTLIBH,CINTSCH,CINTSCHH,CINONET,CIHSNET,CIPWT,CISUPPWT,UBSUPPWT
1,2009,2954,2954,2954,2954,2954,2954,1451,1451,1451,0,1451,1451,1451,1451,0,1451,0,0,0,0,0,0,0,0,0,0,1451,0,1503,0,1503,0,0,0,0,0,0,1503,0,1503,1451
1,2010,1553,1553,1553,1553,1553,1553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1553,1553,0,0,0,0,1553,0,1553,1553,1553,0,1553,0
1,2011,2913,2913,2913,2913,2913,2913,1477,1477,0,1477,1477,1477,0,1477,1477,1477,1477,0,0,0,0,0,0,0,0,0,1477,0,0,1436,0,0,1436,0,1436,0,1436,1436,1436,1436,1477
1,2012,1388,1388,1388,1388,1388,1388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1388,0,0,0,1388,0,1388,1388,1388,1388,1388,0
1,2013,2769,2769,2769,2769,2769,2769,1412,1412,0,1412,0,1412,0,0,1412,1412,1412,0,0,0,0,0,1412,0,0,0,1412,0,0,1357,0,1357,1357,0,1357,0,1357,1357,1357,1357,1412
1,2015,4960,4960,4960,4960,4960,4960,2443,2443,0,2443,0,0,0,0,0,2443,0,2443,2443,2443,2443,2443,2443,2443,2443,2443,2443,0,0,2517,0,2517,2517,0,2517,0,0,0,2517,2517,2443
1,2017,5183,5183,5183,5183,5183,5183,2622,2622,0,2622,0,0,0,0,0,2622,0,2622,2622,2622,2622,2622,2622,2622,2622,2622,2622,0,0,2561,0,2561,2561,0,2561,0,0,0,2561,2561,2622
2,2009,3611,3611,3611,3611,3611,3611,1802,1802,1802,0,1802,1802,1802,1802,0,1802,0,0,0,0,0,0,0,0,0,0,1802,0,1809,0,1809,0,0,0,0,0,0,1809,0,1809,1802
2,2010,1719,1719,1719,1719,1719,1719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1719,1719,0,0,0,0,1719,0,1719,1719,1719,0,1719,0
2,2011,3459,3459,3459,3459,3459,3459,1717,1717,0,1717,1717,1717,0,1717,1717,1717,1717,0,0,0,0,0,0,0,0,0,1717,0,0,1742,0,0,1742,0,1742,0,1742,1742,1742,1742,1717
2,2012,1643,1643,1643,1643,1643,1643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1643,0,0,0,1643,0,1643,1643,1643,1643,1643,0
2,2013,3054,3054,3054,3054,3054,3054,1571,1571,0,1571,0,1571,0,0,1571,1571,1571,0,0,0,0,0,1571,0,0,0,1571,0,0,1483,0,1483,1483,0,1483,0,1483,1483,1483,1483,1571
2,2015,3157,3157,3157,3157,3157,3157,1543,1543,0,1543,0,0,0,0,0,1543,0,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,0,0,1614,0,1614,1614,0,1614,0,0,0,1614,1614,1543
2,2017,2987,2987,2987,2987,2987,2987,1450,1450,0,1450,0,0,0,0,0,1450,0,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,0,0,1537,0,1537,1537,0,1537,0,0,0,1537,1537,1450
4,2009,3227,3227,3227,3227,3227,3227,1631,1631,1631,0,1631,1631,1631,1631,0,1631,0,0,0,0,0,0,0,0,0,0,1631,0,1596,0,1596,0,0,0,0,0,0,1596,0,1596,1631
4,2010,1602,1602,1602,1602,1602,1602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1602,1602,0,0,0,0,1602,0,1602,1602,1602,0,1602,0
4,2011,3258,3258,3258,3258,3258,3258,1669,1669,0,1669,1669,1669,0,1669,1669,1669,1669,0,0,0,0,0,0,0,0,0,1669,0,0,1589,0,0,1589,0,1589,0,1589,1589,1589,1589,1669
4,2012,1605,1605,1605,1605,1605,1605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1605,0,0,0,1605,0,1605,1605,1605,1605,1605,0
4,2013,3121,3121,3121,3121,3121,3121,1570,1570,0,1570,0,1570,0,0,1570,1570,1570,0,0,0,0,0,1570,0,0,0,1570,0,0,1551,0,1551,1551,0,1551,0,1551,1551,1551,1551,1570
