YEAR,REGION,STATE,AGE,AGE_COUNTS
2011,11,Connecticut,0,276
2011,11,Connecticut,1,359
2011,11,Connecticut,2,324
2011,11,Connecticut,3,378
2011,11,Connecticut,4,400
2011,11,Connecticut,5,382
2011,11,Connecticut,6,394
2011,11,Connecticut,7,400
2011,11,Connecticut,8,448
2011,11,Connecticut,9,454
2011,11,Connecticut,10,470
2011,11,Connecticut,11,462
2011,11,Connecticut,12,440
2011,11,Connecticut,13,469
2011,11,Connecticut,14,447
2011,11,Connecticut,15,532
2011,11,Connecticut,16,491
2011,11,Connecticut,17,513
2011,11,Connecticut,18,576
2011,11,Connecticut,19,614
2011,11,Connecticut,20,573
2011,11,Connecticut,21,495
2011,11,Connecticut,22,429
2011,11,Connecticut,23,394
2011,11,Connecticut,24,342
2011,11,Connecticut,25,354
2011,11,Connecticut,26,346
2011,11,Connecticut,27,317
2011,11,Connecticut,28,369
2011,11,Connecticut,29,353
2011,11,Connecticut,30,385
2011,11,Connecticut,31,357
2011,11,Connecticut,32,346
2011,11,Connecticut,33,339
2011,11,Connecticut,34,364
2011,11,Connecticut,35,383
2011,11,Connecticut,36,385
2011,11,Connecticut,37,379
2011,11,Connecticut,38,389
2011,11,Connecticut,39,397
2011,11,Connecticut,40,490
2011,11,Connecticut,41,512
2011,11,Connecticut,42,472
2011,11,Connecticut,43,505
2011,11,Connecticut,44,455
2011,11,Connecticut,45,532
2011,11,Connecticut,46,565
2011,11,Connecticut,47,584
2011,11,Connecticut,48,577
2011,11,Connecticut,49,595
2011,11,Connecticut,50,679
2011,11,Connecticut,51,575
2011,11,Connecticut,52,576
2011,11,Connecticut,53,624
2011,11,Connecticut,54,587
2011,11,Connecticut,55,606
2011,11,Connecticut,56,555
2011,11,Connecticut,57,568
2011,11,Connecticut,58,522
2011,11,Connecticut,59,532
2011,11,Connecticut,60,526
2011,11,Connecticut,61,495
2011,11,Connecticut,62,466
2011,11,Connecticut,63,457
2011,11,Connecticut,64,542
2011,11,Connecticut,65,392
2011,11,Connecticut,66,370
2011,11,Connecticut,67,370
2011,11,Connecticut,68,380
2011,11,Connecticut,69,317
2011,11,Connecticut,70,298
2011,11,Connecticut,71,279
2011,11,Connecticut,72,275
2011,11,Connecticut,73,221
2011,11,Connecticut,74,225
2011,11,Connecticut,75,241
2011,11,Connecticut,76,227
2011,11,Connecticut,77,231
2011,11,Connecticut,78,231
2011,11,Connecticut,79,214
2011,11,Connecticut,80,224
2011,11,Connecticut,81,187
2011,11,Connecticut,82,202
2011,11,Connecticut,83,190
2011,11,Connecticut,84,171
2011,11,Connecticut,85,169
2011,11,Connecticut,86,153
2011,11,Connecticut,87,142
2011,11,Connecticut,88,138
2011,11,Connecticut,89,110
2011,11,Connecticut,90,95
