YEAR,REGION,STATE,CIDIAL,CIDIAL_COUNTS
2013,11,Connecticut,0.0,6900
2013,11,Connecticut,1.0,886
2013,11,Connecticut,2.0,28596
2013,11,Maine,0.0,3159
2013,11,Maine,1.0,395
2013,11,Maine,2.0,9428
2013,11,Massachusetts,0.0,13298
2013,11,Massachusetts,1.0,1525
2013,11,Massachusetts,2.0,53902
2013,11,New Hampshire,0.0,2399
2013,11,New Hampshire,1.0,336
2013,11,New Hampshire,2.0,10812
2013,11,Rhode Island,0.0,2206
2013,11,Rhode Island,1.0,185
2013,11,Rhode Island,2.0,8227
2013,11,Vermont,0.0,1373
2013,11,Vermont,1.0,163
2013,11,Vermont,2.0,4852
2013,12,New Jersey,0.0,14984
2013,12,New Jersey,1.0,2555
2013,12,New Jersey,2.0,70971
2013,12,New York,0.0,44422
2013,12,New York,1.0,5615
2013,12,New York,2.0,146128
2013,12,Pennsylvania,0.0,31254
2013,12,Pennsylvania,1.0,3769
2013,12,Pennsylvania,2.0,93359
2013,21,Illinois,0.0,28293
2013,21,Illinois,1.0,3476
2013,21,Illinois,2.0,96301
2013,21,Indiana,0.0,17644
2013,21,Indiana,1.0,1897
2013,21,Indiana,2.0,46822
2013,21,Michigan,0.0,25159
2013,21,Michigan,1.0,2750
2013,21,Michigan,2.0,71532
2013,21,Ohio,0.0,29144
2013,21,Ohio,1.0,3177
2013,21,Ohio,2.0,85902
2013,21,Wisconsin,0.0,14085
2013,21,Wisconsin,1.0,1992
2013,21,Wisconsin,2.0,42479
2013,22,Iowa,0.0,7932
2013,22,Iowa,1.0,1114
2013,22,Iowa,2.0,22771
2013,22,Kansas,0.0,7275
2013,22,Kansas,1.0,632
2013,22,Kansas,2.0,21462
2013,22,Minnesota,0.0,12081
2013,22,Minnesota,1.0,1800
2013,22,Minnesota,2.0,41107
2013,22,Missouri,0.0,17086
2013,22,Missouri,1.0,1782
2013,22,Missouri,2.0,42831
2013,22,Nebraska,0.0,4636
2013,22,Nebraska,1.0,529
2013,22,Nebraska,2.0,13670
2013,22,North Dakota,0.0,1804
2013,22,North Dakota,1.0,200
2013,22,North Dakota,2.0,5431
2013,22,South Dakota,0.0,2437
2013,22,South Dakota,1.0,370
2013,22,South Dakota,2.0,5933
2013,31,Delaware,0.0,1944
2013,31,Delaware,1.0,240
2013,31,Delaware,2.0,6583
2013,31,District of Columbia,0.0,1828
2013,31,District of Columbia,1.0,164
2013,31,District of Columbia,2.0,4580
2013,31,Florida,0.0,42685
2013,31,Florida,1.0,5177
2013,31,Florida,2.0,143172
2013,31,Georgia,0.0,24646
2013,31,Georgia,1.0,2277
2013,31,Georgia,2.0,69645
2013,31,Maryland,0.0,10982
2013,31,Maryland,1.0,1509
2013,31,Maryland,2.0,46542
2013,31,North Carolina,0.0,25469
2013,31,North Carolina,1.0,2277
2013,31,North Carolina,2.0,69564
2013,31,South Carolina,0.0,13756
2013,31,South Carolina,1.0,1241
2013,31,South Carolina,2.0,32208
2013,31,Virginia,0.0,17633
2013,31,Virginia,1.0,2214
2013,31,Virginia,2.0,63197
2013,31,West Virginia,0.0,5454
2013,31,West Virginia,1.0,439
2013,31,West Virginia,2.0,12375
2013,32,Alabama,0.0,15307
2013,32,Alabama,1.0,1386
2013,32,Alabama,2.0,31143
2013,32,Kentucky,0.0,12387
2013,32,Kentucky,1.0,1063
2013,32,Kentucky,2.0,31547
2013,32,Mississippi,0.0,11663
2013,32,Mississippi,1.0,768
2013,32,Mississippi,2.0,17217
2013,32,Tennessee,0.0,18557
2013,32,Tennessee,1.0,1604
2013,32,Tennessee,2.0,44987
2013,33,Arkansas,0.0,10424
2013,33,Arkansas,1.0,1051
2013,33,Arkansas,2.0,18116
2013,33,Louisiana,0.0,14086
2013,33,Louisiana,1.0,1217
2013,33,Louisiana,2.0,29324
2013,33,Oklahoma,0.0,12793
2013,33,Oklahoma,1.0,994
2013,33,Oklahoma,2.0,23359
2013,33,Texas,0.0,65519
2013,33,Texas,1.0,6627
2013,33,Texas,2.0,181453
2013,41,Arizona,0.0,17329
2013,41,Arizona,1.0,1751
2013,41,Arizona,2.0,47452
2013,41,Colorado,0.0,9428
2013,41,Colorado,1.0,1369
2013,41,Colorado,2.0,41310
2013,41,Idaho,0.0,3446
2013,41,Idaho,1.0,481
2013,41,Idaho,2.0,11859
2013,41,Montana,0.0,2561
2013,41,Montana,1.0,475
2013,41,Montana,2.0,7077
2013,41,Nevada,0.0,5318
2013,41,Nevada,1.0,888
2013,41,Nevada,2.0,20542
2013,41,New Mexico,0.0,7048
2013,41,New Mexico,1.0,606
2013,41,New Mexico,2.0,12060
2013,41,Utah,0.0,4668
2013,41,Utah,1.0,794
2013,41,Utah,2.0,23505
2013,41,Wyoming,0.0,1288
2013,41,Wyoming,1.0,124
2013,41,Wyoming,2.0,4416
2013,42,Alaska,0.0,1989
2013,42,Alaska,1.0,136
2013,42,Alaska,2.0,4623
2013,42,California,0.0,76297
2013,42,California,1.0,11471
2013,42,California,2.0,283635
2013,42,Hawaii,0.0,2825
2013,42,Hawaii,1.0,429
2013,42,Hawaii,2.0,11032
2013,42,Oregon,0.0,7638
2013,42,Oregon,1.0,1043
2013,42,Oregon,2.0,30661
2013,42,Washington,0.0,12549
2013,42,Washington,1.0,1968
2013,42,Washington,2.0,55076
2015,11,Connecticut,0.0,6028
2015,11,Connecticut,1.0,793
2015,11,Connecticut,2.0,28966
2015,11,Maine,0.0,2935
2015,11,Maine,1.0,299
2015,11,Maine,2.0,9825
2015,11,Massachusetts,0.0,12321
2015,11,Massachusetts,1.0,1351
2015,11,Massachusetts,2.0,55113
2015,11,New Hampshire,0.0,2216
2015,11,New Hampshire,1.0,267
2015,11,New Hampshire,2.0,10895
2015,11,Rhode Island,0.0,2114
2015,11,Rhode Island,1.0,197
2015,11,Rhode Island,2.0,8252
2015,11,Vermont,0.0,1223
2015,11,Vermont,1.0,136
2015,11,Vermont,2.0,4967
2015,12,New Jersey,0.0,13521
2015,12,New Jersey,1.0,2048
2015,12,New Jersey,2.0,72246
2015,12,New York,0.0,40055
2015,12,New York,1.0,4912
2015,12,New York,2.0,150775
2015,12,Pennsylvania,0.0,29240
2015,12,Pennsylvania,1.0,2981
2015,12,Pennsylvania,2.0,95924
2015,21,Illinois,0.0,25228
2015,21,Illinois,1.0,2687
2015,21,Illinois,2.0,98727
2015,21,Indiana,0.0,16291
2015,21,Indiana,1.0,1448
2015,21,Indiana,2.0,48306
2015,21,Michigan,0.0,22672
2015,21,Michigan,1.0,1980
2015,21,Michigan,2.0,73356
2015,21,Ohio,0.0,25751
2015,21,Ohio,1.0,2242
2015,21,Ohio,2.0,90130
2015,21,Wisconsin,0.0,12767
2015,21,Wisconsin,1.0,1494
2015,21,Wisconsin,2.0,44317
2015,22,Iowa,0.0,7433
2015,22,Iowa,1.0,942
2015,22,Iowa,2.0,23525
2015,22,Kansas,0.0,6383
2015,22,Kansas,1.0,549
2015,22,Kansas,2.0,21842
2015,22,Minnesota,0.0,10891
2015,22,Minnesota,1.0,1483
2015,22,Minnesota,2.0,42437
2015,22,Missouri,0.0,15728
2015,22,Missouri,1.0,1251
2015,22,Missouri,2.0,44607
2015,22,Nebraska,0.0,3989
2015,22,Nebraska,1.0,408
2015,22,Nebraska,2.0,14692
2015,22,North Dakota,0.0,1746
2015,22,North Dakota,1.0,164
2015,22,North Dakota,2.0,5959
2015,22,South Dakota,0.0,2227
