YEAR,REGION,STATE,CIHISPEED,CIHISPEED_COUNTS
2013,11,Connecticut,0.0,6900
2013,11,Connecticut,11.0,18423
2013,11,Connecticut,12.0,1197
2013,11,Connecticut,13.0,5596
2013,11,Connecticut,14.0,573
2013,11,Connecticut,15.0,1747
2013,11,Connecticut,16.0,157
2013,11,Connecticut,17.0,359
2013,11,Connecticut,20.0,1430
2013,11,Maine,0.0,3159
2013,11,Maine,11.0,4515
2013,11,Maine,12.0,143
2013,11,Maine,13.0,3059
2013,11,Maine,14.0,125
2013,11,Maine,15.0,470
2013,11,Maine,16.0,73
2013,11,Maine,17.0,46
2013,11,Maine,20.0,1392
2013,11,Massachusetts,0.0,13298
2013,11,Massachusetts,11.0,32222
2013,11,Massachusetts,12.0,8041
2013,11,Massachusetts,13.0,6815
2013,11,Massachusetts,14.0,1687
2013,11,Massachusetts,15.0,2282
2013,11,Massachusetts,16.0,364
2013,11,Massachusetts,17.0,600
2013,11,Massachusetts,20.0,3416
2013,11,New Hampshire,0.0,2399
2013,11,New Hampshire,11.0,6859
2013,11,New Hampshire,12.0,315
2013,11,New Hampshire,13.0,2449
2013,11,New Hampshire,14.0,115
2013,11,New Hampshire,15.0,427
2013,11,New Hampshire,16.0,42
2013,11,New Hampshire,17.0,55
2013,11,New Hampshire,20.0,886
2013,11,Rhode Island,0.0,2206
2013,11,Rhode Island,11.0,4443
2013,11,Rhode Island,12.0,2120
2013,11,Rhode Island,13.0,547
2013,11,Rhode Island,14.0,402
2013,11,Rhode Island,15.0,285
2013,11,Rhode Island,16.0,93
2013,11,Rhode Island,17.0,133
2013,11,Rhode Island,20.0,389
2013,11,Vermont,0.0,1373
2013,11,Vermont,11.0,1837
2013,11,Vermont,12.0,110
2013,11,Vermont,13.0,2149
2013,11,Vermont,14.0,32
2013,11,Vermont,15.0,167
2013,11,Vermont,16.0,58
2013,11,Vermont,17.0,29
2013,11,Vermont,20.0,633
2013,12,New Jersey,0.0,14984
2013,12,New Jersey,11.0,43191
2013,12,New Jersey,12.0,12812
2013,12,New Jersey,13.0,7226
2013,12,New Jersey,14.0,2485
2013,12,New Jersey,15.0,3046
2013,12,New Jersey,16.0,507
2013,12,New Jersey,17.0,912
2013,12,New Jersey,20.0,3347
2013,12,New York,0.0,44422
2013,12,New York,11.0,89377
2013,12,New York,12.0,18600
2013,12,New York,13.0,17437
2013,12,New York,14.0,4569
2013,12,New York,15.0,6808
2013,12,New York,16.0,1126
2013,12,New York,17.0,2131
2013,12,New York,20.0,11695
2013,12,Pennsylvania,0.0,31254
2013,12,Pennsylvania,11.0,45921
2013,12,Pennsylvania,12.0,9922
2013,12,Pennsylvania,13.0,24711
2013,12,Pennsylvania,14.0,2256
2013,12,Pennsylvania,15.0,4203
2013,12,Pennsylvania,16.0,663
2013,12,Pennsylvania,17.0,804
2013,12,Pennsylvania,20.0,8648
2013,21,Illinois,0.0,28293
2013,21,Illinois,11.0,50182
2013,21,Illinois,12.0,2823
2013,21,Illinois,13.0,25495
2013,21,Illinois,14.0,1094
2013,21,Illinois,15.0,4763
2013,21,Illinois,16.0,613
2013,21,Illinois,17.0,701
2013,21,Illinois,20.0,14106
2013,21,Indiana,0.0,17644
2013,21,Indiana,11.0,20717
2013,21,Indiana,12.0,3210
2013,21,Indiana,13.0,13750
2013,21,Indiana,14.0,605
2013,21,Indiana,15.0,2194
2013,21,Indiana,16.0,438
2013,21,Indiana,17.0,313
2013,21,Indiana,20.0,7492
2013,21,Michigan,0.0,25159
2013,21,Michigan,11.0,39105
2013,21,Michigan,12.0,1650
2013,21,Michigan,13.0,14924
2013,21,Michigan,14.0,993
2013,21,Michigan,15.0,2819
2013,21,Michigan,16.0,349
2013,21,Michigan,17.0,467
2013,21,Michigan,20.0,13975
2013,21,Ohio,0.0,29144
2013,21,Ohio,11.0,48601
2013,21,Ohio,12.0,3224
2013,21,Ohio,13.0,19917
2013,21,Ohio,14.0,1229
2013,21,Ohio,15.0,4293
2013,21,Ohio,16.0,438
2013,21,Ohio,17.0,757
2013,21,Ohio,20.0,10620
2013,21,Wisconsin,0.0,14085
2013,21,Wisconsin,11.0,16543
2013,21,Wisconsin,12.0,1652
2013,21,Wisconsin,13.0,14458
2013,21,Wisconsin,14.0,428
2013,21,Wisconsin,15.0,1681
2013,21,Wisconsin,16.0,521
2013,21,Wisconsin,17.0,399
2013,21,Wisconsin,20.0,8789
2013,22,Iowa,0.0,7932
2013,22,Iowa,11.0,8366
2013,22,Iowa,12.0,1403
2013,22,Iowa,13.0,7808
2013,22,Iowa,14.0,320
2013,22,Iowa,15.0,1127
2013,22,Iowa,16.0,348
2013,22,Iowa,17.0,348
2013,22,Iowa,20.0,4165
2013,22,Kansas,0.0,7275
2013,22,Kansas,11.0,9504
2013,22,Kansas,12.0,1700
2013,22,Kansas,13.0,5528
2013,22,Kansas,14.0,335
2013,22,Kansas,15.0,811
2013,22,Kansas,16.0,398
2013,22,Kansas,17.0,255
2013,22,Kansas,20.0,3563
2013,22,Minnesota,0.0,12081
2013,22,Minnesota,11.0,15115
2013,22,Minnesota,12.0,1935
2013,22,Minnesota,13.0,13912
2013,22,Minnesota,14.0,453
2013,22,Minnesota,15.0,1616
2013,22,Minnesota,16.0,787
2013,22,Minnesota,17.0,431
2013,22,Minnesota,20.0,8658
2013,22,Missouri,0.0,17086
2013,22,Missouri,11.0,15281
2013,22,Missouri,12.0,2312
2013,22,Missouri,13.0,15648
2013,22,Missouri,14.0,445
2013,22,Missouri,15.0,2026
2013,22,Missouri,16.0,512
2013,22,Missouri,17.0,321
2013,22,Missouri,20.0,8068
2013,22,Nebraska,0.0,4636
2013,22,Nebraska,11.0,6374
2013,22,Nebraska,12.0,491
2013,22,Nebraska,13.0,3866
2013,22,Nebraska,14.0,248
2013,22,Nebraska,15.0,622
2013,22,Nebraska,16.0,238
2013,22,Nebraska,17.0,155
2013,22,Nebraska,20.0,2205
2013,22,North Dakota,0.0,1804
2013,22,North Dakota,11.0,1744
2013,22,North Dakota,12.0,687
2013,22,North Dakota,13.0,1519
2013,22,North Dakota,14.0,132
2013,22,North Dakota,15.0,244
2013,22,North Dakota,16.0,370
