YEAR,REGION,STATE,CILAPTOP,CILAPTOP_COUNTS
2013,11,Connecticut,0.0,2257
2013,11,Connecticut,1.0,30309
2013,11,Connecticut,2.0,3816
2013,11,Maine,0.0,679
2013,11,Maine,1.0,10564
2013,11,Maine,2.0,1739
2013,11,Massachusetts,0.0,4919
2013,11,Massachusetts,1.0,57019
2013,11,Massachusetts,2.0,6787
2013,11,New Hampshire,0.0,681
2013,11,New Hampshire,1.0,11660
2013,11,New Hampshire,2.0,1206
2013,11,Rhode Island,0.0,711
2013,11,Rhode Island,1.0,8646
2013,11,Rhode Island,2.0,1261
2013,11,Vermont,0.0,367
2013,11,Vermont,1.0,5340
2013,11,Vermont,2.0,681
2013,12,New Jersey,0.0,3345
2013,12,New Jersey,1.0,75765
2013,12,New Jersey,2.0,9400
2013,12,New York,0.0,10824
2013,12,New York,1.0,158706
2013,12,New York,2.0,26635
2013,12,Pennsylvania,0.0,7536
2013,12,Pennsylvania,1.0,101278
2013,12,Pennsylvania,2.0,19568
2013,21,Illinois,0.0,5311
2013,21,Illinois,1.0,104177
2013,21,Illinois,2.0,18582
2013,21,Indiana,0.0,3370
2013,21,Indiana,1.0,51638
2013,21,Indiana,2.0,11355
2013,21,Michigan,0.0,4085
2013,21,Michigan,1.0,79895
2013,21,Michigan,2.0,15461
2013,21,Ohio,0.0,5673
2013,21,Ohio,1.0,93415
2013,21,Ohio,2.0,19135
2013,21,Wisconsin,0.0,2689
2013,21,Wisconsin,1.0,46976
2013,21,Wisconsin,2.0,8891
2013,22,Iowa,0.0,1866
2013,22,Iowa,1.0,25321
2013,22,Iowa,2.0,4630
2013,22,Kansas,0.0,1506
2013,22,Kansas,1.0,23514
2013,22,Kansas,2.0,4349
2013,22,Minnesota,0.0,2686
2013,22,Minnesota,1.0,45392
2013,22,Minnesota,2.0,6910
2013,22,Missouri,0.0,3340
2013,22,Missouri,1.0,47658
2013,22,Missouri,2.0,10701
2013,22,Nebraska,0.0,951
2013,22,Nebraska,1.0,15119
2013,22,Nebraska,2.0,2765
2013,22,North Dakota,0.0,405
2013,22,North Dakota,1.0,5964
2013,22,North Dakota,2.0,1066
2013,22,South Dakota,0.0,508
2013,22,South Dakota,1.0,6742
2013,22,South Dakota,2.0,1490
2013,31,Delaware,0.0,328
2013,31,Delaware,1.0,7247
2013,31,Delaware,2.0,1192
2013,31,District of Columbia,0.0,632
2013,31,District of Columbia,1.0,5014
2013,31,District of Columbia,2.0,926
2013,31,Florida,0.0,8053
2013,31,Florida,1.0,156265
2013,31,Florida,2.0,26716
2013,31,Georgia,0.0,4599
2013,31,Georgia,1.0,76075
2013,31,Georgia,2.0,15894
2013,31,Maryland,0.0,2663
2013,31,Maryland,1.0,49912
2013,31,Maryland,2.0,6458
2013,31,North Carolina,0.0,4837
2013,31,North Carolina,1.0,75580
2013,31,North Carolina,2.0,16893
2013,31,South Carolina,0.0,2414
2013,31,South Carolina,1.0,35761
2013,31,South Carolina,2.0,9030
2013,31,Virginia,0.0,4493
2013,31,Virginia,1.0,68570
2013,31,Virginia,2.0,9981
2013,31,West Virginia,0.0,895
2013,31,West Virginia,1.0,13590
2013,31,West Virginia,2.0,3783
2013,32,Alabama,0.0,2316
2013,32,Alabama,1.0,34890
2013,32,Alabama,2.0,10630
2013,32,Kentucky,0.0,2257
2013,32,Kentucky,1.0,34235
