YEAR,REGION,STATE,CINETHH,CINETHH_COUNTS
2013,11,Connecticut,0.0,2257
2013,11,Connecticut,1.0,29482
2013,11,Connecticut,2.0,965
2013,11,Connecticut,3.0,3678
2013,11,Maine,0.0,679
2013,11,Maine,1.0,9823
2013,11,Maine,2.0,485
2013,11,Maine,3.0,1995
2013,11,Massachusetts,0.0,4919
2013,11,Massachusetts,1.0,55427
2013,11,Massachusetts,2.0,1568
2013,11,Massachusetts,3.0,6811
2013,11,New Hampshire,0.0,681
2013,11,New Hampshire,1.0,11148
2013,11,New Hampshire,2.0,434
2013,11,New Hampshire,3.0,1284
2013,11,Rhode Island,0.0,711
2013,11,Rhode Island,1.0,8412
2013,11,Rhode Island,2.0,258
2013,11,Rhode Island,3.0,1237
2013,11,Vermont,0.0,367
2013,11,Vermont,1.0,5015
2013,11,Vermont,2.0,205
2013,11,Vermont,3.0,801
2013,12,New Jersey,0.0,3345
2013,12,New Jersey,1.0,73526
2013,12,New Jersey,2.0,2406
2013,12,New Jersey,3.0,9233
2013,12,New York,0.0,10824
2013,12,New York,1.0,151743
2013,12,New York,2.0,6513
2013,12,New York,3.0,27085
2013,12,Pennsylvania,0.0,7536
2013,12,Pennsylvania,1.0,97128
2013,12,Pennsylvania,2.0,3564
2013,12,Pennsylvania,3.0,20154
2013,21,Illinois,0.0,5311
2013,21,Illinois,1.0,99777
2013,21,Illinois,2.0,4093
2013,21,Illinois,3.0,18889
2013,21,Indiana,0.0,3370
2013,21,Indiana,1.0,48719
2013,21,Indiana,2.0,2469
2013,21,Indiana,3.0,11805
2013,21,Michigan,0.0,4085
2013,21,Michigan,1.0,74282
2013,21,Michigan,2.0,4530
2013,21,Michigan,3.0,16544
2013,21,Ohio,0.0,5673
2013,21,Ohio,1.0,89079
2013,21,Ohio,2.0,4483
2013,21,Ohio,3.0,18988
2013,21,Wisconsin,0.0,2689
2013,21,Wisconsin,1.0,44471
2013,21,Wisconsin,2.0,1901
2013,21,Wisconsin,3.0,9495
2013,22,Iowa,0.0,1866
2013,22,Iowa,1.0,23885
2013,22,Iowa,2.0,1148
2013,22,Iowa,3.0,4918
2013,22,Kansas,0.0,1506
2013,22,Kansas,1.0,22094
2013,22,Kansas,2.0,1102
2013,22,Kansas,3.0,4667
2013,22,Minnesota,0.0,2686
2013,22,Minnesota,1.0,42907
2013,22,Minnesota,2.0,2017
2013,22,Minnesota,3.0,7378
2013,22,Missouri,0.0,3340
2013,22,Missouri,1.0,44613
2013,22,Missouri,2.0,2593
2013,22,Missouri,3.0,11153
2013,22,Nebraska,0.0,951
2013,22,Nebraska,1.0,14199
2013,22,Nebraska,2.0,604
2013,22,Nebraska,3.0,3081
2013,22,North Dakota,0.0,405
2013,22,North Dakota,1.0,5631
2013,22,North Dakota,2.0,337
2013,22,North Dakota,3.0,1062
2013,22,South Dakota,0.0,508
2013,22,South Dakota,1.0,6303
2013,22,South Dakota,2.0,376
2013,22,South Dakota,3.0,1553
2013,31,Delaware,0.0,328
2013,31,Delaware,1.0,6823
2013,31,Delaware,2.0,337
2013,31,Delaware,3.0,1279
2013,31,District of Columbia,0.0,632
2013,31,District of Columbia,1.0,4744
2013,31,District of Columbia,2.0,267
2013,31,District of Columbia,3.0,929
2013,31,Florida,0.0,8053
2013,31,Florida,1.0,148349
2013,31,Florida,2.0,7172
2013,31,Florida,3.0,27460
2013,31,Georgia,0.0,4599
2013,31,Georgia,1.0,71922
2013,31,Georgia,2.0,3641
2013,31,Georgia,3.0,16406
2013,31,Maryland,0.0,2663
2013,31,Maryland,1.0,48051
2013,31,Maryland,2.0,1774
2013,31,Maryland,3.0,6545
2013,31,North Carolina,0.0,4837
2013,31,North Carolina,1.0,71841
2013,31,North Carolina,2.0,3495
2013,31,North Carolina,3.0,17137
2013,31,South Carolina,0.0,2414
2013,31,South Carolina,1.0,33449
2013,31,South Carolina,2.0,2068
2013,31,South Carolina,3.0,9274
2013,31,Virginia,0.0,4493
2013,31,Virginia,1.0,65411
2013,31,Virginia,2.0,2667
2013,31,Virginia,3.0,10473
2013,31,West Virginia,0.0,895
2013,31,West Virginia,1.0,12814
2013,31,West Virginia,2.0,739
2013,31,West Virginia,3.0,3820
2013,32,Alabama,0.0,2316
2013,32,Alabama,1.0,32529
2013,32,Alabama,2.0,2181
2013,32,Alabama,3.0,10810
2013,32,Kentucky,0.0,2257
2013,32,Kentucky,1.0,32610
2013,32,Kentucky,2.0,1672
2013,32,Kentucky,3.0,8458
2013,32,Mississippi,0.0,1718
2013,32,Mississippi,1.0,17985
2013,32,Mississippi,2.0,1671
2013,32,Mississippi,3.0,8274
2013,32,Tennessee,0.0,2701
2013,32,Tennessee,1.0,46591
2013,32,Tennessee,2.0,2635
2013,32,Tennessee,3.0,13221
2013,33,Arkansas,0.0,1512
2013,33,Arkansas,1.0,19167
2013,33,Arkansas,2.0,1805
2013,33,Arkansas,3.0,7107
2013,33,Louisiana,0.0,2203
2013,33,Louisiana,1.0,30541
2013,33,Louisiana,2.0,1808
2013,33,Louisiana,3.0,10075
2013,33,Oklahoma,0.0,2064
2013,33,Oklahoma,1.0,24353
2013,33,Oklahoma,2.0,1985
2013,33,Oklahoma,3.0,8744
2013,33,Texas,0.0,10523
2013,33,Texas,1.0,188080
2013,33,Texas,2.0,10290
2013,33,Texas,3.0,44706
2013,41,Arizona,0.0,3101
2013,41,Arizona,1.0,49203
2013,41,Arizona,2.0,2660
2013,41,Arizona,3.0,11568
2013,41,Colorado,0.0,2107
2013,41,Colorado,1.0,42679
2013,41,Colorado,2.0,1713
2013,41,Colorado,3.0,5608
2013,41,Idaho,0.0,456
2013,41,Idaho,1.0,12340
2013,41,Idaho,2.0,663
2013,41,Idaho,3.0,2327
2013,41,Montana,0.0,471
2013,41,Montana,1.0,7552
2013,41,Montana,2.0,366
2013,41,Montana,3.0,1724
2013,41,Nevada,0.0,548
2013,41,Nevada,1.0,21430
2013,41,Nevada,2.0,1115
2013,41,Nevada,3.0,3655
2013,41,New Mexico,0.0,839
2013,41,New Mexico,1.0,12666
2013,41,New Mexico,2.0,789
2013,41,New Mexico,3.0,5420
2013,41,Utah,0.0,854
2013,41,Utah,1.0,24299
2013,41,Utah,2.0,1235
2013,41,Utah,3.0,2579
2013,41,Wyoming,0.0,183
2013,41,Wyoming,1.0,4540
2013,41,Wyoming,2.0,270
2013,41,Wyoming,3.0,835
2013,42,Alaska,0.0,419
2013,42,Alaska,1.0,4759
2013,42,Alaska,2.0,219
2013,42,Alaska,3.0,1351
2013,42,California,0.0,15684
