YEAR,REGION,STATE,CISMRTPHN,CISMRTPHN_COUNTS
2017,11,Connecticut,0.0,2164
2017,11,Connecticut,1.0,29504
2017,11,Connecticut,2.0,4310
2017,11,Maine,0.0,817
2017,11,Maine,1.0,9238
2017,11,Maine,2.0,2528
2017,11,Massachusetts,0.0,5142
2017,11,Massachusetts,1.0,56211
2017,11,Massachusetts,2.0,8282
2017,11,New Hampshire,0.0,779
2017,11,New Hampshire,1.0,10951
2017,11,New Hampshire,2.0,1978
2017,11,Rhode Island,0.0,712
2017,11,Rhode Island,1.0,8399
2017,11,Rhode Island,2.0,1405
2017,11,Vermont,0.0,392
2017,11,Vermont,1.0,4688
2017,11,Vermont,2.0,1260
2017,12,New Jersey,0.0,3404
2017,12,New Jersey,1.0,75224
2017,12,New Jersey,2.0,9486
2017,12,New York,0.0,10630
2017,12,New York,1.0,157711
2017,12,New York,2.0,28244
2017,12,Pennsylvania,0.0,7415
2017,12,Pennsylvania,1.0,97354
2017,12,Pennsylvania,2.0,22664
2017,21,Illinois,0.0,5471
2017,21,Illinois,1.0,104942
2017,21,Illinois,2.0,16069
2017,21,Indiana,0.0,3357
2017,21,Indiana,1.0,53017
2017,21,Indiana,2.0,10630
2017,21,Michigan,0.0,4057
2017,21,Michigan,1.0,79672
2017,21,Michigan,2.0,15730
2017,21,Ohio,0.0,6054
2017,21,Ohio,1.0,94077
2017,21,Ohio,2.0,18711
2017,21,Wisconsin,0.0,2691
2017,21,Wisconsin,1.0,45901
2017,21,Wisconsin,2.0,10467
2017,22,Iowa,0.0,1983
2017,22,Iowa,1.0,25296
2017,22,Iowa,2.0,5177
2017,22,Kansas,0.0,1511
2017,22,Kansas,1.0,23615
2017,22,Kansas,2.0,4248
2017,22,Minnesota,0.0,2567
2017,22,Minnesota,1.0,45005
2017,22,Minnesota,2.0,7589
2017,22,Missouri,0.0,3351
2017,22,Missouri,1.0,49238
2017,22,Missouri,2.0,9484
2017,22,Nebraska,0.0,977
2017,22,Nebraska,1.0,15638
2017,22,Nebraska,2.0,2930
2017,22,North Dakota,0.0,372
