YEAR,REGION,STATE,CITIZEN,CITIZEN_COUNTS
2011,11,Connecticut,0,31875
2011,11,Connecticut,1,305
2011,11,Connecticut,2,2369
2011,11,Connecticut,3,1989
2011,11,Maine,0,13061
2011,11,Maine,1,123
2011,11,Maine,2,224
2011,11,Maine,3,157
2011,11,Massachusetts,0,59276
2011,11,Massachusetts,1,601
2011,11,Massachusetts,2,5010
2011,11,Massachusetts,3,4122
2011,11,New Hampshire,0,12827
2011,11,New Hampshire,1,135
2011,11,New Hampshire,2,335
2011,11,New Hampshire,3,287
2011,11,Rhode Island,0,9450
2011,11,Rhode Island,1,87
2011,11,Rhode Island,2,709
2011,11,Rhode Island,3,559
2011,11,Vermont,0,6325
2011,11,Vermont,1,56
2011,11,Vermont,2,132
2011,11,Vermont,3,95
2011,12,New Jersey,0,71387
2011,12,New Jersey,1,671
2011,12,New Jersey,2,9110
2011,12,New Jersey,3,7199
2011,12,New York,0,158637
2011,12,New York,1,1602
2011,12,New York,2,21149
2011,12,New York,3,15786
2011,12,Pennsylvania,0,123259
2011,12,Pennsylvania,1,607
2011,12,Pennsylvania,2,3066
2011,12,Pennsylvania,3,2597
2011,21,Illinois,0,113228
2011,21,Illinois,1,659
2011,21,Illinois,2,6745
2011,21,Illinois,3,6402
2011,21,Indiana,0,63248
2011,21,Indiana,1,295
2011,21,Indiana,2,929
2011,21,Indiana,3,1437
2011,21,Michigan,0,93883
2011,21,Michigan,1,520
2011,21,Michigan,2,2596
2011,21,Michigan,3,2286
2011,21,Ohio,0,113878
2011,21,Ohio,1,539
2011,21,Ohio,2,2147
2011,21,Ohio,3,1859
2011,21,Wisconsin,0,57352
2011,21,Wisconsin,1,245
2011,21,Wisconsin,2,922
2011,21,Wisconsin,3,922
2011,22,Iowa,0,30447
2011,22,Iowa,1,113
2011,22,Iowa,2,351
2011,22,Iowa,3,554
2011,22,Kansas,0,27360
2011,22,Kansas,1,179
2011,22,Kansas,2,539
2011,22,Kansas,3,906
2011,22,Minnesota,0,52347
2011,22,Minnesota,1,178
2011,22,Minnesota,2,1120
2011,22,Minnesota,3,1172
2011,22,Missouri,0,59742
2011,22,Missouri,1,290
2011,22,Missouri,2,845
2011,22,Missouri,3,1233
2011,22,Nebraska,0,17954
2011,22,Nebraska,1,84
2011,22,Nebraska,2,281
2011,22,Nebraska,3,394
2011,22,North Dakota,0,6815
2011,22,North Dakota,1,25
2011,22,North Dakota,2,61
2011,22,North Dakota,3,86
2011,22,South Dakota,0,8190
2011,22,South Dakota,1,38
2011,22,South Dakota,2,69
2011,22,South Dakota,3,119
2011,31,Delaware,0,8283
2011,31,Delaware,1,64
2011,31,Delaware,2,292
2011,31,Delaware,3,355
2011,31,District of Columbia,0,5410
2011,31,District of Columbia,1,92
2011,31,District of Columbia,2,312
2011,31,District of Columbia,3,448
2011,31,Florida,0,156094
2011,31,Florida,1,2003
2011,31,Florida,2,18095
2011,31,Florida,3,15008
2011,31,Georgia,0,86737
2011,31,Georgia,1,824
2011,31,Georgia,2,2890
2011,31,Georgia,3,3947
2011,31,Maryland,0,50561
2011,31,Maryland,1,603
2011,31,Maryland,2,3617
2011,31,Maryland,3,3554
2011,31,North Carolina,0,89857
2011,31,North Carolina,1,654
2011,31,North Carolina,2,2064
2011,31,North Carolina,3,3585
2011,31,South Carolina,0,45308
2011,31,South Carolina,1,277
2011,31,South Carolina,2,678
2011,31,South Carolina,3,1104
2011,31,Virginia,0,73164
2011,31,Virginia,1,1017
2011,31,Virginia,2,3688
2011,31,Virginia,3,3496
2011,31,West Virginia,0,18041
2011,31,West Virginia,1,62
2011,31,West Virginia,2,121
2011,31,West Virginia,3,141
2011,32,Alabama,0,47092
2011,32,Alabama,1,293
2011,32,Alabama,2,489
2011,32,Alabama,3,705
