YEAR,REGION,STATE,COUNTYFIP,COUNTYFIP_COUNTS
2011,11,Connecticut,1,9314
2011,11,Connecticut,3,9409
2011,11,Connecticut,5,2276
2011,11,Connecticut,7,1561
2011,11,Connecticut,9,8231
2011,11,Connecticut,11,3017
2011,11,Connecticut,13,1469
2011,11,Connecticut,15,1261
2011,11,Maine,0,11603
2011,11,Maine,1,871
2011,11,Maine,11,1091
2011,11,Massachusetts,0,53845
2011,11,Massachusetts,9,7889
2011,11,Massachusetts,25,7275
2011,11,New Hampshire,0,12468
2011,11,New Hampshire,17,1116
2011,11,Rhode Island,0,1520
2011,11,Rhode Island,3,1675
2011,11,Rhode Island,7,6262
2011,11,Rhode Island,9,1348
2011,11,Vermont,0,6608
2011,12,New Jersey,0,4100
2011,12,New Jersey,1,2714
2011,12,New Jersey,3,8248
2011,12,New Jersey,5,5103
2011,12,New Jersey,7,5709
2011,12,New Jersey,9,997
2011,12,New Jersey,11,1967
2011,12,New Jersey,13,7883
2011,12,New Jersey,17,5732
2011,12,New Jersey,19,1602
2011,12,New Jersey,21,3276
2011,12,New Jersey,23,8607
2011,12,New Jersey,25,6451
2011,12,New Jersey,27,5050
2011,12,New Jersey,29,5749
2011,12,New Jersey,31,3870
2011,12,New Jersey,35,3043
2011,12,New Jersey,37,1857
2011,12,New Jersey,39,4950
2011,12,New Jersey,41,1459
2011,12,New York,0,63810
2011,12,New York,1,2887
2011,12,New York,5,10956
2011,12,New York,13,2153
2011,12,New York,27,2955
2011,12,New York,29,8863
2011,12,New York,47,24224
2011,12,New York,59,13773
2011,12,New York,61,9571
2011,12,New York,63,2220
2011,12,New York,69,1289
2011,12,New York,71,3194
2011,12,New York,75,1694
2011,12,New York,81,20771
2011,12,New York,83,1692
2011,12,New York,85,4073
2011,12,New York,87,3154
2011,12,New York,89,1933
2011,12,New York,91,2211
2011,12,New York,93,1622
2011,12,New York,103,14129
2011,12,Pennsylvania,0,49856
2011,12,Pennsylvania,3,11463
2011,12,Pennsylvania,11,3761
2011,12,Pennsylvania,13,1404
2011,12,Pennsylvania,17,5013
2011,12,Pennsylvania,19,2155
2011,12,Pennsylvania,27,1642
2011,12,Pennsylvania,29,4428
2011,12,Pennsylvania,43,2319
2011,12,Pennsylvania,45,4931
2011,12,Pennsylvania,49,2846
2011,12,Pennsylvania,51,1519
2011,12,Pennsylvania,71,4051
2011,12,Pennsylvania,75,1263
2011,12,Pennsylvania,81,1766
2011,12,Pennsylvania,85,1796
2011,12,Pennsylvania,89,804
2011,12,Pennsylvania,91,7212
2011,12,Pennsylvania,95,2465
2011,12,Pennsylvania,101,9226
2011,12,Pennsylvania,107,2163
2011,12,Pennsylvania,129,3659
2011,12,Pennsylvania,133,3787
2011,21,Illinois,0,59384
2011,21,Illinois,19,2207
2011,21,Illinois,31,43129
2011,21,Illinois,43,7093
2011,21,Illinois,91,1306
2011,21,Illinois,97,7247
2011,21,Illinois,99,1639
2011,21,Illinois,113,2013
2011,21,Illinois,115,1375
2011,21,Illinois,179,1641
2011,21,Indiana,0,39693
2011,21,Indiana,3,3593
2011,21,Indiana,35,1296
2011,21,Indiana,39,1451
2011,21,Indiana,81,1119
2011,21,Indiana,89,4321
2011,21,Indiana,91,1297
2011,21,Indiana,97,7532
2011,21,Indiana,105,1227
2011,21,Indiana,127,1348
2011,21,Indiana,141,3032
2011,21,Michigan,0,47825
2011,21,Michigan,21,1640
2011,21,Michigan,25,1478
2011,21,Michigan,75,1420
2011,21,Michigan,81,4532
2011,21,Michigan,93,1670
2011,21,Michigan,99,6452
2011,21,Michigan,115,1415
2011,21,Michigan,121,1641
2011,21,Michigan,125,10170
2011,21,Michigan,139,1754
2011,21,Michigan,145,2114
2011,21,Michigan,161,2992
2011,21,Michigan,163,14182
2011,21,Ohio,0,55071
2011,21,Ohio,7,1165
2011,21,Ohio,17,3019
2011,21,Ohio,29,1200
2011,21,Ohio,35,13927
2011,21,Ohio,41,1640
2011,21,Ohio,45,1322
2011,21,Ohio,49,9631
2011,21,Ohio,57,1542
2011,21,Ohio,61,7395
2011,21,Ohio,89,1531
2011,21,Ohio,93,3148
2011,21,Ohio,103,1717
2011,21,Ohio,113,5177
2011,21,Ohio,133,1546
2011,21,Ohio,139,1218
2011,21,Ohio,153,4837
2011,21,Ohio,165,1760
2011,21,Ohio,169,1577
2011,21,Wisconsin,0,47008
2011,21,Wisconsin,9,1690
2011,21,Wisconsin,25,3450
2011,21,Wisconsin,59,925
2011,21,Wisconsin,63,932
2011,21,Wisconsin,73,1677
2011,21,Wisconsin,101,1303
2011,21,Wisconsin,105,1347
2011,21,Wisconsin,117,1109
2011,22,Iowa,0,23387
2011,22,Iowa,13,1089
2011,22,Iowa,103,894
2011,22,Iowa,113,1496
2011,22,Iowa,153,2433
2011,22,Iowa,163,1294
2011,22,Iowa,193,872
2011,22,Kansas,0,22290
2011,22,Kansas,91,3867
2011,22,Kansas,177,1361
2011,22,Kansas,209,1466
2011,22,Minnesota,0,34720
2011,22,Minnesota,3,2095
2011,22,Minnesota,37,2526
2011,22,Minnesota,53,7226
2011,22,Minnesota,109,1174
2011,22,Minnesota,123,3240
2011,22,Minnesota,137,2211
2011,22,Minnesota,163,1625
2011,22,Missouri,0,45128
2011,22,Missouri,19,1295
2011,22,Missouri,99,1604
2011,22,Missouri,183,2793
2011,22,Missouri,189,8374
2011,22,Missouri,510,2916
2011,22,Nebraska,0,12980
2011,22,Nebraska,55,3806
2011,22,Nebraska,109,1927
2011,22,North Dakota,0,6087
2011,22,North Dakota,17,900
2011,22,South Dakota,0,8416
2011,31,Delaware,1,1564
2011,31,Delaware,3,5139
2011,31,Delaware,5,2291
2011,31,District of Columbia,1,6262
2011,31,Florida,0,51775
2011,31,Florida,1,2732
2011,31,Florida,5,1748
2011,31,Florida,9,5471
2011,31,Florida,11,17106
2011,31,Florida,15,1273
2011,31,Florida,19,1505
2011,31,Florida,21,2735
2011,31,Florida,33,3314
2011,31,Florida,53,1556
2011,31,Florida,57,14387
2011,31,Florida,69,2249
2011,31,Florida,71,6050
2011,31,Florida,81,3498
2011,31,Florida,83,3022
2011,31,Florida,85,1614
2011,31,Florida,91,2091
2011,31,Florida,95,11593
2011,31,Florida,97,2005
2011,31,Florida,99,15159
2011,31,Florida,101,4204
2011,31,Florida,103,11183
2011,31,Florida,105,6581
2011,31,Florida,109,1408
2011,31,Florida,111,2088
2011,31,Florida,113,1550
2011,31,Florida,115,4483
2011,31,Florida,117,4434
2011,31,Florida,127,4386
2011,31,Georgia,0,54096
2011,31,Georgia,21,1783
2011,31,Georgia,51,3036
2011,31,Georgia,57,1578
2011,31,Georgia,63,2078
2011,31,Georgia,67,5396
2011,31,Georgia,89,6283
2011,31,Georgia,121,7762
2011,31,Georgia,135,5092
2011,31,Georgia,139,1554
2011,31,Georgia,151,1176
2011,31,Georgia,215,2479
2011,31,Georgia,245,2085
2011,31,Maryland,0,8235
2011,31,Maryland,3,4714
2011,31,Maryland,5,8673
2011,31,Maryland,13,1804
2011,31,Maryland,17,1337
2011,31,Maryland,21,2022
2011,31,Maryland,25,2408
2011,31,Maryland,27,2455
2011,31,Maryland,31,10006
2011,31,Maryland,33,8446
2011,31,Maryland,43,1801
2011,31,Maryland,510,6434
2011,31,North Carolina,0,58177
2011,31,North Carolina,1,1864
2011,31,North Carolina,25,1325
2011,31,North Carolina,35,1724
2011,31,North Carolina,51,3357
2011,31,North Carolina,57,1239
2011,31,North Carolina,67,3825
2011,31,North Carolina,81,5187
2011,31,North Carolina,97,1088
2011,31,North Carolina,119,7811
2011,31,North Carolina,133,1729
2011,31,North Carolina,147,1331
2011,31,North Carolina,151,1581
2011,31,North Carolina,155,1666
2011,31,North Carolina,159,1606
2011,31,North Carolina,179,1391
2011,31,North Carolina,191,1259
2011,31,South Carolina,0,26084
2011,31,South Carolina,3,1637
2011,31,South Carolina,7,1781
2011,31,South Carolina,15,1601
2011,31,South Carolina,19,3485
2011,31,South Carolina,45,4720
2011,31,South Carolina,51,1949
2011,31,South Carolina,83,2888
2011,31,South Carolina,85,1178
2011,31,South Carolina,91,2044
2011,31,Virginia,0,56450
2011,31,Virginia,13,1813
2011,31,Virginia,41,3241
2011,31,Virginia,87,2886
2011,31,Virginia,510,1355
2011,31,Virginia,550,2212
2011,31,Virginia,650,1311
2011,31,Virginia,700,1764
2011,31,Virginia,710,3389
2011,31,Virginia,760,2403
2011,31,Virginia,810,4541
2011,31,West Virginia,0,18365
2011,32,Alabama,0,31655
2011,32,Alabama,3,1110
2011,32,Alabama,15,1080
2011,32,Alabama,55,1061
2011,32,Alabama,73,5407
2011,32,Alabama,81,1037
2011,32,Alabama,97,3807
2011,32,Alabama,117,1618
2011,32,Alabama,125,1804
2011,32,Kentucky,0,32447
2011,32,Kentucky,67,2356
2011,32,Kentucky,111,7917
2011,32,Kentucky,117,1586
2011,32,Mississippi,0,24426
2011,32,Mississippi,33,1192
2011,32,Mississippi,47,1619
2011,32,Mississippi,59,1123
2011,32,Mississippi,121,1094
2011,32,Tennessee,0,42777
2011,32,Tennessee,9,1126
2011,32,Tennessee,37,6293
2011,32,Tennessee,125,1361
2011,32,Tennessee,149,1617
2011,32,Tennessee,157,8197
2011,32,Tennessee,179,924
2011,32,Tennessee,187,1297
2011,33,Arkansas,0,23596
2011,33,Arkansas,7,1456
2011,33,Arkansas,119,2669
2011,33,Arkansas,143,1686
2011,33,Louisiana,0,35994
2011,33,Louisiana,17,2267
2011,33,Louisiana,19,1640
2011,33,Louisiana,73,1468
2011,33,Louisiana,79,1250
2011,33,Louisiana,105,949
2011,33,Louisiana,109,836
2011,33,Oklahoma,0,37650
2011,33,Texas,0,106179
2011,33,Texas,29,15187
2011,33,Texas,39,2905
2011,33,Texas,41,1606
2011,33,Texas,61,4672
2011,33,Texas,85,5914
2011,33,Texas,113,23488
2011,33,Texas,121,4602
2011,33,Texas,135,1459
2011,33,Texas,139,1599
2011,33,Texas,141,7243
2011,33,Texas,157,4063
2011,33,Texas,167,2904
2011,33,Texas,201,32305
2011,33,Texas,215,5762
2011,33,Texas,245,3129
2011,33,Texas,251,1583
2011,33,Texas,303,2818
2011,33,Texas,309,3053
2011,33,Texas,329,1422
2011,33,Texas,375,1677
2011,33,Texas,381,1459
2011,33,Texas,423,2106
2011,33,Texas,441,1660
2011,33,Texas,479,2018
2011,33,Texas,485,1686
2011,33,Texas,491,3037
2011,41,Arizona,0,11894
2011,41,Arizona,5,2003
2011,41,Arizona,13,36857
2011,41,Arizona,19,10876
2011,41,Arizona,25,1508
2011,41,Arizona,27,1779
2011,41,Colorado,0,42852
2011,41,Colorado,41,5810
2011,41,Colorado,123,2163
2011,41,Idaho,0,11829
2011,41,Idaho,1,2606
2011,41,Idaho,27,1347
2011,41,Montana,0,8940
2011,41,Montana,111,1025
2011,41,Nevada,0,4272
2011,41,Nevada,3,17921
2011,41,Nevada,31,3920
2011,41,New Mexico,0,11494
2011,41,New Mexico,1,5346
2011,41,New Mexico,13,1490
2011,41,New Mexico,45,1447
2011,41,Utah,0,8608
2011,41,Utah,11,2745
2011,41,Utah,35,9336
2011,41,Utah,49,4923
2011,41,Utah,57,2139
2011,41,Wyoming,0,5798
2011,42,Alaska,0,5603
2011,42,Alaska,20,1457
2011,42,California,0,15091
2011,42,California,1,15916
2011,42,California,7,2144
2011,42,California,13,8740
2011,42,California,17,1549
2011,42,California,19,8753
2011,42,California,23,1599
2011,42,California,25,1796
2011,42,California,29,7905
2011,42,California,31,1907
2011,42,California,37,102649
2011,42,California,39,1409
2011,42,California,41,2313
2011,42,California,47,2569
2011,42,California,55,1366
2011,42,California,59,31385
2011,42,California,61,2746
2011,42,California,65,20358
2011,42,California,67,13493
2011,42,California,71,14183
2011,42,California,73,30936
2011,42,California,75,7179
2011,42,California,77,6245
2011,42,California,79,2472
2011,42,California,81,7565
2011,42,California,83,4529
2011,42,California,85,18609
2011,42,California,87,2770
2011,42,California,89,1811
2011,42,California,95,3836
2011,42,California,97,4552
2011,42,California,99,4923
2011,42,California,107,5172
2011,42,California,111,8432
2011,42,California,113,1907
2011,42,Hawaii,0,2351
2011,42,Hawaii,1,1849
2011,42,Hawaii,3,10071
2011,42,Oregon,0,28248
2011,42,Oregon,17,1116
2011,42,Oregon,19,1155
2011,42,Oregon,29,1813
2011,42,Oregon,39,3652
2011,42,Oregon,47,3066
2011,42,Washington,0,18446
2011,42,Washington,11,4241
2011,42,Washington,33,18608
2011,42,Washington,35,2752
2011,42,Washington,53,8170
2011,42,Washington,61,6811
2011,42,Washington,63,5098
2011,42,Washington,67,1862
2011,42,Washington,73,1712
2011,42,Washington,77,2062
2012,11,Connecticut,1,9458
2012,11,Connecticut,3,9156
2012,11,Connecticut,5,2172
2012,11,Connecticut,7,1648
2012,11,Connecticut,9,8135
2012,11,Connecticut,11,3004
2012,11,Connecticut,13,1589
2012,11,Connecticut,15,1219
2012,11,Maine,0,9872
2012,11,Maine,1,774
2012,11,Maine,11,969
2012,11,Maine,19,1557
2012,11,Massachusetts,0,59164
2012,11,Massachusetts,3,1888
2012,11,Massachusetts,25,7383
2012,11,New Hampshire,0,13469
2012,11,Rhode Island,0,1501
2012,11,Rhode Island,3,1661
2012,11,Rhode Island,7,6235
2012,11,Rhode Island,9,1358
2012,11,Vermont,0,6553
2012,12,New Jersey,0,6783
2012,12,New Jersey,3,8346
2012,12,New Jersey,5,4913
2012,12,New Jersey,7,5353
2012,12,New Jersey,13,7761
2012,12,New Jersey,15,3261
2012,12,New Jersey,17,5980
2012,12,New Jersey,19,1546
2012,12,New Jersey,21,3259
2012,12,New Jersey,23,8183
2012,12,New Jersey,25,6494
2012,12,New Jersey,27,4924
2012,12,New Jersey,29,5598
2012,12,New Jersey,31,4294
2012,12,New Jersey,35,3194
2012,12,New Jersey,37,1864
2012,12,New Jersey,39,4864
2012,12,New Jersey,41,1386
2012,12,New York,0,55348
2012,12,New York,1,2836
2012,12,New York,5,10959
2012,12,New York,13,1985
2012,12,New York,27,3241
2012,12,New York,29,8829
2012,12,New York,47,24614
2012,12,New York,55,7088
2012,12,New York,59,13566
2012,12,New York,61,9216
2012,12,New York,63,2181
2012,12,New York,71,3728
2012,12,New York,75,1568
2012,12,New York,81,21325
2012,12,New York,83,1784
2012,12,New York,85,3997
2012,12,New York,87,3238
2012,12,New York,89,1844
2012,12,New York,91,2202
2012,12,New York,93,1541
2012,12,New York,103,14119
2012,12,New York,109,1105
