,YEAR,STATE,UNDERBANKED,SURVEY_POP
12,2011,Idaho,1320,1562
26,2011,Montana,1013,1230
37,2011,Oregon,1509,1876
47,2011,Washington,1980,2377
50,2011,Wyoming,1398,1710
63,2013,Idaho,1111,1464
77,2013,Montana,969,1329
88,2013,Oregon,1454,1898
98,2013,Washington,1782,2410
101,2013,Wyoming,1210,1674
114,2015,Idaho,1331,1896
128,2015,Montana,1866,2605
139,2015,Oregon,1212,2004
149,2015,Washington,1586,2334
152,2015,Wyoming,1165,1849
165,2017,Idaho,1345,2097
179,2017,Montana,1528,2441
190,2017,Oregon,1331,1999
200,2017,Washington,1673,2311
203,2017,Wyoming,1297,1845
