YEAR,REGION,STATE,EDUC,EDUC_COUNTS
2011,11,Connecticut,0,1924
2011,11,Connecticut,1,2903
2011,11,Connecticut,2,2530
2011,11,Connecticut,3,869
2011,11,Connecticut,4,963
2011,11,Connecticut,5,997
2011,11,Connecticut,6,9988
2011,11,Connecticut,7,4190
2011,11,Connecticut,8,1940
2011,11,Connecticut,10,5758
2011,11,Connecticut,11,4476
2011,11,Maine,0,762
2011,11,Maine,1,853
2011,11,Maine,2,871
2011,11,Maine,3,318
2011,11,Maine,4,347
2011,11,Maine,5,359
2011,11,Maine,6,4854
2011,11,Maine,7,1604
2011,11,Maine,8,944
2011,11,Maine,10,1703
2011,11,Maine,11,950
2011,11,Massachusetts,0,3976
2011,11,Massachusetts,1,5193
2011,11,Massachusetts,2,4699
2011,11,Massachusetts,3,1505
2011,11,Massachusetts,4,1734
2011,11,Massachusetts,5,1668
2011,11,Massachusetts,6,18379
2011,11,Massachusetts,7,7786
2011,11,Massachusetts,8,3904
2011,11,Massachusetts,10,11423
2011,11,Massachusetts,11,8742
2011,11,New Hampshire,0,628
2011,11,New Hampshire,1,945
2011,11,New Hampshire,2,885
2011,11,New Hampshire,3,303
2011,11,New Hampshire,4,338
2011,11,New Hampshire,5,343
2011,11,New Hampshire,6,4094
2011,11,New Hampshire,7,1644
2011,11,New Hampshire,8,964
2011,11,New Hampshire,10,2151
2011,11,New Hampshire,11,1289
2011,11,Rhode Island,0,681
2011,11,Rhode Island,1,804
2011,11,Rhode Island,2,770
2011,11,Rhode Island,3,265
2011,11,Rhode Island,4,338
2011,11,Rhode Island,5,334
2011,11,Rhode Island,6,2976
2011,11,Rhode Island,7,1396
2011,11,Rhode Island,8,644
2011,11,Rhode Island,10,1601
2011,11,Rhode Island,11,996
2011,11,Vermont,0,306
2011,11,Vermont,1,433
2011,11,Vermont,2,461
2011,11,Vermont,3,127
2011,11,Vermont,4,169
2011,11,Vermont,5,144
2011,11,Vermont,6,2114
2011,11,Vermont,7,756
2011,11,Vermont,8,385
2011,11,Vermont,10,1079
2011,11,Vermont,11,634
2011,12,New Jersey,0,5389
2011,12,New Jersey,1,7401
2011,12,New Jersey,2,6532
2011,12,New Jersey,3,1905
2011,12,New Jersey,4,2257
2011,12,New Jersey,5,2693
2011,12,New Jersey,6,25219
2011,12,New Jersey,7,9333
2011,12,New Jersey,8,4219
2011,12,New Jersey,10,14582
2011,12,New Jersey,11,8837
2011,12,New York,0,12655
2011,12,New York,1,14995
2011,12,New York,2,14852
2011,12,New York,3,4839
2011,12,New York,4,5699
2011,12,New York,5,6341
2011,12,New York,6,57036
2011,12,New York,7,21546
2011,12,New York,8,12781
2011,12,New York,10,26288
2011,12,New York,11,20142
2011,12,Pennsylvania,0,7428
2011,12,Pennsylvania,1,9166
2011,12,Pennsylvania,2,8791
2011,12,Pennsylvania,3,3048
2011,12,Pennsylvania,4,4013
2011,12,Pennsylvania,5,4212
2011,12,Pennsylvania,6,48644
2011,12,Pennsylvania,7,13012
2011,12,Pennsylvania,8,7283
2011,12,Pennsylvania,10,14838
2011,12,Pennsylvania,11,9094
2011,21,Illinois,0,7775
2011,21,Illinois,1,10191
2011,21,Illinois,2,9814
2011,21,Illinois,3,2957
2011,21,Illinois,4,3789
2011,21,Illinois,5,4003
2011,21,Illinois,6,38961
2011,21,Illinois,7,15688
2011,21,Illinois,8,7133
2011,21,Illinois,10,16813
2011,21,Illinois,11,9910
2011,21,Indiana,0,4291
2011,21,Indiana,1,5253
2011,21,Indiana,2,4811
2011,21,Indiana,3,1821
2011,21,Indiana,4,2273
2011,21,Indiana,5,2333
2011,21,Indiana,6,23706
2011,21,Indiana,7,7827
2011,21,Indiana,8,3660
2011,21,Indiana,10,6351
2011,21,Indiana,11,3583
2011,21,Michigan,0,5711
2011,21,Michigan,1,7345
2011,21,Michigan,2,6679
2011,21,Michigan,3,2354
2011,21,Michigan,4,3138
2011,21,Michigan,5,3352
2011,21,Michigan,6,33846
2011,21,Michigan,7,13132
2011,21,Michigan,8,6113
2011,21,Michigan,10,10878
2011,21,Michigan,11,6737
2011,21,Ohio,0,7475
2011,21,Ohio,1,8927
2011,21,Ohio,2,8132
2011,21,Ohio,3,2737
2011,21,Ohio,4,3766
2011,21,Ohio,5,4323
2011,21,Ohio,6,42231
2011,21,Ohio,7,14025
2011,21,Ohio,8,6546
2011,21,Ohio,10,12694
2011,21,Ohio,11,7567
2011,21,Wisconsin,0,3382
2011,21,Wisconsin,1,4441
2011,21,Wisconsin,2,4277
2011,21,Wisconsin,3,1182
2011,21,Wisconsin,4,1559
2011,21,Wisconsin,5,1795
2011,21,Wisconsin,6,21540
2011,21,Wisconsin,7,6965
2011,21,Wisconsin,8,4226
2011,21,Wisconsin,10,6679
2011,21,Wisconsin,11,3395
2011,22,Iowa,0,1868
2011,22,Iowa,1,2444
2011,22,Iowa,2,2218
2011,22,Iowa,3,641
2011,22,Iowa,4,788
2011,22,Iowa,5,889
2011,22,Iowa,6,11302
2011,22,Iowa,7,3891
2011,22,Iowa,8,2460
2011,22,Iowa,10,3495
2011,22,Iowa,11,1469
2011,22,Kansas,0,1972
2011,22,Kansas,1,2377
2011,22,Kansas,2,2228
2011,22,Kansas,3,576
2011,22,Kansas,4,753
2011,22,Kansas,5,869
2011,22,Kansas,6,9141
