YEAR,REGION,STATE,FAMSIZE,FAMSIZE_COUNTS
2011,11,Connecticut,1,7166
2011,11,Connecticut,2,9504
2011,11,Connecticut,3,6507
2011,11,Connecticut,4,7592
2011,11,Connecticut,5,3830
2011,11,Connecticut,6,1290
2011,11,Connecticut,7,385
2011,11,Connecticut,8,144
2011,11,Connecticut,9,54
2011,11,Connecticut,10,20
2011,11,Connecticut,11,22
2011,11,Connecticut,12,24
2011,11,Maine,1,2703
2011,11,Maine,2,4638
2011,11,Maine,3,2277
2011,11,Maine,4,2424
2011,11,Maine,5,985
2011,11,Maine,6,324
2011,11,Maine,7,112
2011,11,Maine,8,48
2011,11,Maine,9,27
2011,11,Maine,11,11
2011,11,Maine,16,16
2011,11,Massachusetts,1,15149
2011,11,Massachusetts,2,17310
2011,11,Massachusetts,3,11862
2011,11,Massachusetts,4,14040
2011,11,Massachusetts,5,6740
2011,11,Massachusetts,6,2448
2011,11,Massachusetts,7,875
2011,11,Massachusetts,8,312
2011,11,Massachusetts,9,108
2011,11,Massachusetts,10,50
2011,11,Massachusetts,11,55
2011,11,Massachusetts,12,60
2011,11,New Hampshire,1,2425
2011,11,New Hampshire,2,4230
2011,11,New Hampshire,3,2322
2011,11,New Hampshire,4,2800
2011,11,New Hampshire,5,1160
2011,11,New Hampshire,6,414
2011,11,New Hampshire,7,119
2011,11,New Hampshire,8,56
2011,11,New Hampshire,9,27
2011,11,New Hampshire,10,20
2011,11,New Hampshire,11,11
2011,11,Rhode Island,1,2478
2011,11,Rhode Island,2,2882
2011,11,Rhode Island,3,1863
2011,11,Rhode Island,4,1884
2011,11,Rhode Island,5,1085
2011,11,Rhode Island,6,366
2011,11,Rhode Island,7,154
2011,11,Rhode Island,8,56
2011,11,Rhode Island,9,27
2011,11,Rhode Island,10,10
2011,11,Vermont,1,1347
2011,11,Vermont,2,2202
2011,11,Vermont,3,1086
2011,11,Vermont,4,1204
2011,11,Vermont,5,485
2011,11,Vermont,6,180
2011,11,Vermont,7,70
2011,11,Vermont,8,24
2011,11,Vermont,10,10
2011,12,New Jersey,1,13980
2011,12,New Jersey,2,20732
2011,12,New Jersey,3,16332
2011,12,New Jersey,4,19876
2011,12,New Jersey,5,10475
2011,12,New Jersey,6,4236
2011,12,New Jersey,7,1309
2011,12,New Jersey,8,856
2011,12,New Jersey,9,324
2011,12,New Jersey,10,90
2011,12,New Jersey,11,121
2011,12,New Jersey,12,36
2011,12,New York,1,39642
2011,12,New York,2,47762
2011,12,New York,3,33864
2011,12,New York,4,37344
2011,12,New York,5,20830
2011,12,New York,6,9132
2011,12,New York,7,4060
2011,12,New York,8,2024
2011,12,New York,9,1278
2011,12,New York,10,570
2011,12,New York,11,341
2011,12,New York,12,192
2011,12,New York,13,39
2011,12,New York,14,14
2011,12,New York,15,30
2011,12,New York,16,16
2011,12,New York,18,36
2011,12,Pennsylvania,1,25880
2011,12,Pennsylvania,2,36692
2011,12,Pennsylvania,3,22497
2011,12,Pennsylvania,4,24144
2011,12,Pennsylvania,5,12275
2011,12,Pennsylvania,6,4578
2011,12,Pennsylvania,7,1799
2011,12,Pennsylvania,8,784
2011,12,Pennsylvania,9,396
2011,12,Pennsylvania,10,180
2011,12,Pennsylvania,11,143
2011,12,Pennsylvania,12,108
2011,12,Pennsylvania,13,39
2011,12,Pennsylvania,14,14
2011,21,Illinois,1,23595
2011,21,Illinois,2,33562
2011,21,Illinois,3,21195
2011,21,Illinois,4,24276
2011,21,Illinois,5,13820
2011,21,Illinois,6,6204
2011,21,Illinois,7,2373
2011,21,Illinois,8,1032
2011,21,Illinois,9,540
2011,21,Illinois,10,200
2011,21,Illinois,11,99
2011,21,Illinois,12,84
2011,21,Illinois,13,26
2011,21,Illinois,14,28
2011,21,Indiana,1,12773
2011,21,Indiana,2,18564
2011,21,Indiana,3,11301
2011,21,Indiana,4,11836
2011,21,Indiana,5,6470
2011,21,Indiana,6,2850
2011,21,Indiana,7,1232
2011,21,Indiana,8,424
2011,21,Indiana,9,216
2011,21,Indiana,10,130
2011,21,Indiana,11,44
2011,21,Indiana,12,12
2011,21,Indiana,13,26
2011,21,Indiana,15,15
2011,21,Indiana,16,16
2011,21,Michigan,1,18260
2011,21,Michigan,2,29260
2011,21,Michigan,3,16782
2011,21,Michigan,4,18204
2011,21,Michigan,5,9665
2011,21,Michigan,6,4038
2011,21,Michigan,7,1638
2011,21,Michigan,8,704
2011,21,Michigan,9,360
2011,21,Michigan,10,160
2011,21,Michigan,11,77
2011,21,Michigan,12,96
2011,21,Michigan,13,13
2011,21,Michigan,14,28
2011,21,Ohio,1,23404
2011,21,Ohio,2,33850
2011,21,Ohio,3,20652
2011,21,Ohio,4,20772
2011,21,Ohio,5,11500
2011,21,Ohio,6,4986
2011,21,Ohio,7,1708
2011,21,Ohio,8,760
2011,21,Ohio,9,396
2011,21,Ohio,10,170
2011,21,Ohio,11,88
2011,21,Ohio,12,84
2011,21,Ohio,13,39
2011,21,Ohio,14,14
2011,21,Wisconsin,1,10727
2011,21,Wisconsin,2,18786
2011,21,Wisconsin,3,9576
2011,21,Wisconsin,4,10604
2011,21,Wisconsin,5,5845
2011,21,Wisconsin,6,2190
2011,21,Wisconsin,7,707
2011,21,Wisconsin,8,392
2011,21,Wisconsin,9,117
2011,21,Wisconsin,10,220
2011,21,Wisconsin,11,77
2011,21,Wisconsin,12,108
2011,21,Wisconsin,13,78
2011,21,Wisconsin,14,14
2011,22,Iowa,1,6427
2011,22,Iowa,2,9848
2011,22,Iowa,3,4713
2011,22,Iowa,4,5376
2011,22,Iowa,5,3110
2011,22,Iowa,6,1182
2011,22,Iowa,7,490
2011,22,Iowa,8,168
2011,22,Iowa,9,90
2011,22,Iowa,10,50
2011,22,Iowa,11,11
2011,22,Kansas,1,5707
2011,22,Kansas,2,8452
2011,22,Kansas,3,4431
2011,22,Kansas,4,5112
2011,22,Kansas,5,2925
2011,22,Kansas,6,1404
2011,22,Kansas,7,588
2011,22,Kansas,8,216
2011,22,Kansas,9,72
2011,22,Kansas,10,30
2011,22,Kansas,11,22
2011,22,Kansas,12,12
2011,22,Kansas,13,13
2011,22,Minnesota,1,9587
2011,22,Minnesota,2,16828
2011,22,Minnesota,3,8421
2011,22,Minnesota,4,10036
2011,22,Minnesota,5,5750
