YEAR,REGION,STATE,MARST,MARST_COUNTS
2011,11,Connecticut,1,14990
2011,11,Connecticut,2,557
2011,11,Connecticut,3,395
2011,11,Connecticut,4,3043
2011,11,Connecticut,5,2089
2011,11,Connecticut,6,15464
2011,11,Maine,1,6088
2011,11,Maine,2,142
2011,11,Maine,3,117
2011,11,Maine,4,1462
2011,11,Maine,5,809
2011,11,Maine,6,4947
2011,11,Massachusetts,1,26846
2011,11,Massachusetts,2,1113
2011,11,Massachusetts,3,977
2011,11,Massachusetts,4,5240
2011,11,Massachusetts,5,3912
2011,11,Massachusetts,6,30921
2011,11,New Hampshire,1,6288
2011,11,New Hampshire,2,171
2011,11,New Hampshire,3,116
2011,11,New Hampshire,4,1241
2011,11,New Hampshire,5,700
2011,11,New Hampshire,6,5068
2011,11,Rhode Island,1,4128
2011,11,Rhode Island,2,176
2011,11,Rhode Island,3,126
2011,11,Rhode Island,4,977
2011,11,Rhode Island,5,678
2011,11,Rhode Island,6,4720
2011,11,Vermont,1,2974
2011,11,Vermont,2,83
2011,11,Vermont,3,49
2011,11,Vermont,4,608
2011,11,Vermont,5,332
2011,11,Vermont,6,2562
2011,12,New Jersey,1,36248
2011,12,New Jersey,2,1328
2011,12,New Jersey,3,1319
2011,12,New Jersey,4,6025
2011,12,New Jersey,5,5194
2011,12,New Jersey,6,38253
2011,12,New York,1,73348
2011,12,New York,2,4077
2011,12,New York,3,4094
2011,12,New York,4,14242
2011,12,New York,5,11788
2011,12,New York,6,89625
2011,12,Pennsylvania,1,54034
2011,12,Pennsylvania,2,1658
2011,12,Pennsylvania,3,2058
2011,12,Pennsylvania,4,9648
2011,12,Pennsylvania,5,8848
2011,12,Pennsylvania,6,53283
2011,21,Illinois,1,51046
2011,21,Illinois,2,1799
2011,21,Illinois,3,1695
2011,21,Illinois,4,10348
2011,21,Illinois,5,7506
2011,21,Illinois,6,54640
2011,21,Indiana,1,26752
2011,21,Indiana,2,832
2011,21,Indiana,3,764
2011,21,Indiana,4,6882
2011,21,Indiana,5,3967
2011,21,Indiana,6,26712
2011,21,Michigan,1,41854
2011,21,Michigan,2,1235
2011,21,Michigan,3,1027
2011,21,Michigan,4,9327
2011,21,Michigan,5,5994
2011,21,Michigan,6,39848
2011,21,Ohio,1,47664
2011,21,Ohio,2,1427
2011,21,Ohio,3,1583
2011,21,Ohio,4,11511
2011,21,Ohio,5,7705
2011,21,Ohio,6,48533
2011,21,Wisconsin,1,27000
2011,21,Wisconsin,2,676
2011,21,Wisconsin,3,475
2011,21,Wisconsin,4,4787
2011,21,Wisconsin,5,3284
2011,21,Wisconsin,6,23219
2011,22,Iowa,1,13986
2011,22,Iowa,2,367
2011,22,Iowa,3,265
2011,22,Iowa,4,2671
2011,22,Iowa,5,2109
2011,22,Iowa,6,12067
2011,22,Kansas,1,12604
2011,22,Kansas,2,478
2011,22,Kansas,3,291
2011,22,Kansas,4,2629
2011,22,Kansas,5,1780
2011,22,Kansas,6,11202
2011,22,Minnesota,1,25248
2011,22,Minnesota,2,698
2011,22,Minnesota,3,384
2011,22,Minnesota,4,3900
2011,22,Minnesota,5,2801
2011,22,Minnesota,6,21786
2011,22,Missouri,1,25852
2011,22,Missouri,2,916
2011,22,Missouri,3,840
2011,22,Missouri,4,5993
2011,22,Missouri,5,3984
2011,22,Missouri,6,24525
2011,22,Nebraska,1,8356
2011,22,Nebraska,2,241
2011,22,Nebraska,3,162
2011,22,Nebraska,4,1514
2011,22,Nebraska,5,1126
2011,22,Nebraska,6,7314
2011,22,North Dakota,1,3252
2011,22,North Dakota,2,92
2011,22,North Dakota,3,53
2011,22,North Dakota,4,487
2011,22,North Dakota,5,454
2011,22,North Dakota,6,2649
2011,22,South Dakota,1,3674
2011,22,South Dakota,2,154
2011,22,South Dakota,3,68
2011,22,South Dakota,4,648
2011,22,South Dakota,5,541
2011,22,South Dakota,6,3331
2011,31,Delaware,1,3748
2011,31,Delaware,2,108
2011,31,Delaware,3,131
2011,31,Delaware,4,785
2011,31,Delaware,5,548
2011,31,Delaware,6,3674
2011,31,District of Columbia,1,1372
2011,31,District of Columbia,2,111
2011,31,District of Columbia,3,122
2011,31,District of Columbia,4,535
2011,31,District of Columbia,5,351
2011,31,District of Columbia,6,3771
2011,31,Florida,1,76562
2011,31,Florida,2,3622
2011,31,Florida,3,3689
2011,31,Florida,4,20901
2011,31,Florida,5,12960
2011,31,Florida,6,73466
2011,31,Georgia,1,36260
2011,31,Georgia,2,1776
2011,31,Georgia,3,1908
2011,31,Georgia,4,8840
2011,31,Georgia,5,5469
2011,31,Georgia,6,40145
2011,31,Maryland,1,22982
2011,31,Maryland,2,1046
2011,31,Maryland,3,1128
2011,31,Maryland,4,4652
2011,31,Maryland,5,3300
2011,31,Maryland,6,25227
2011,31,North Carolina,1,38986
2011,31,North Carolina,2,1597
2011,31,North Carolina,3,2292
2011,31,North Carolina,4,8304
2011,31,North Carolina,5,6072
2011,31,North Carolina,6,38909
2011,31,South Carolina,1,18824
2011,31,South Carolina,2,693
2011,31,South Carolina,3,1325
2011,31,South Carolina,4,3907
2011,31,South Carolina,5,3264
2011,31,South Carolina,6,19354
2011,31,Virginia,1,33540
2011,31,Virginia,2,1558
2011,31,Virginia,3,1585
2011,31,Virginia,4,6704
2011,31,Virginia,5,4521
2011,31,Virginia,6,33457
2011,31,West Virginia,1,7802
2011,31,West Virginia,2,222
2011,31,West Virginia,3,261
2011,31,West Virginia,4,1984
2011,31,West Virginia,5,1468
2011,31,West Virginia,6,6628
2011,32,Alabama,1,19764
2011,32,Alabama,2,706
2011,32,Alabama,3,980
2011,32,Alabama,4,4918
2011,32,Alabama,5,3496
2011,32,Alabama,6,18715
2011,32,Kentucky,1,18694
2011,32,Kentucky,2,578
2011,32,Kentucky,3,761
2011,32,Kentucky,4,4563
2011,32,Kentucky,5,2941
2011,32,Kentucky,6,16769
2011,32,Mississippi,1,10678
2011,32,Mississippi,2,518
2011,32,Mississippi,3,699
2011,32,Mississippi,4,2685
2011,32,Mississippi,5,2057
2011,32,Mississippi,6,12817
2011,32,Tennessee,1,26242
2011,32,Tennessee,2,1029
2011,32,Tennessee,3,1077
2011,32,Tennessee,4,6823
2011,32,Tennessee,5,4201
2011,32,Tennessee,6,24220
2011,33,Arkansas,1,12378
2011,33,Arkansas,2,478
2011,33,Arkansas,3,570
2011,33,Arkansas,4,3080
2011,33,Arkansas,5,2138
2011,33,Arkansas,6,10763
2011,33,Louisiana,1,16280
2011,33,Louisiana,2,752
2011,33,Louisiana,3,911
2011,33,Louisiana,4,4296
2011,33,Louisiana,5,3130
2011,33,Louisiana,6,19035
2011,33,Oklahoma,1,15586
2011,33,Oklahoma,2,731
2011,33,Oklahoma,3,580
2011,33,Oklahoma,4,3913
2011,33,Oklahoma,5,2348
2011,33,Oklahoma,6,14492
2011,33,Texas,1,97672
2011,33,Texas,2,4943
2011,33,Texas,3,4776
2011,33,Texas,4,21376
2011,33,Texas,5,13201
2011,33,Texas,6,103568
2011,41,Arizona,1,24456
2011,41,Arizona,2,1295
2011,41,Arizona,3,987
2011,41,Arizona,4,6571
2011,41,Arizona,5,3441
2011,41,Arizona,6,28167
2011,41,Colorado,1,21362
2011,41,Colorado,2,861
2011,41,Colorado,3,598
2011,41,Colorado,4,4868
2011,41,Colorado,5,2374
2011,41,Colorado,6,20762
2011,41,Idaho,1,7038
2011,41,Idaho,2,245
2011,41,Idaho,3,151
2011,41,Idaho,4,1472
2011,41,Idaho,5,720
2011,41,Idaho,6,6156
2011,41,Montana,1,4540
2011,41,Montana,2,168
2011,41,Montana,3,82
2011,41,Montana,4,956
2011,41,Montana,5,622
2011,41,Montana,6,3597
2011,41,Nevada,1,10010
2011,41,Nevada,2,471
2011,41,Nevada,3,498
2011,41,Nevada,4,2951
2011,41,Nevada,5,1337
2011,41,Nevada,6,10846
2011,41,New Mexico,1,7296
2011,41,New Mexico,2,380
2011,41,New Mexico,3,270
2011,41,New Mexico,4,2010
2011,41,New Mexico,5,1117
2011,41,New Mexico,6,8704
2011,41,Utah,1,12100
2011,41,Utah,2,324
2011,41,Utah,3,251
2011,41,Utah,4,1827
2011,41,Utah,5,900
2011,41,Utah,6,12349
2011,41,Wyoming,1,2630
2011,41,Wyoming,2,75
2011,41,Wyoming,3,47
2011,41,Wyoming,4,567
2011,41,Wyoming,5,300
2011,41,Wyoming,6,2179
2011,42,Alaska,1,2344
2011,42,Alaska,2,207
2011,42,Alaska,3,106
2011,42,Alaska,4,575
2011,42,Alaska,5,231
2011,42,Alaska,6,3597
2011,42,California,1,138184
2011,42,California,2,8090
2011,42,California,3,6283
2011,42,California,4,29162
2011,42,California,5,17716
2011,42,California,6,169374
2011,42,Hawaii,1,5630
2011,42,Hawaii,2,462
2011,42,Hawaii,3,143
2011,42,Hawaii,4,1070
2011,42,Hawaii,5,847
2011,42,Hawaii,6,6119
2011,42,Oregon,1,16572
2011,42,Oregon,2,711
2011,42,Oregon,3,504
2011,42,Oregon,4,4036
2011,42,Oregon,5,1991
2011,42,Oregon,6,15236
2011,42,Washington,1,29424
2011,42,Washington,2,1200
2011,42,Washington,3,794
2011,42,Washington,4,6871
2011,42,Washington,5,3445
2011,42,Washington,6,28028
2012,11,Connecticut,1,14764
2012,11,Connecticut,2,515
2012,11,Connecticut,3,328
2012,11,Connecticut,4,3085
2012,11,Connecticut,5,2084
2012,11,Connecticut,6,15605
2012,11,Maine,1,6010
2012,11,Maine,2,146
2012,11,Maine,3,116
2012,11,Maine,4,1463
2012,11,Maine,5,794
2012,11,Maine,6,4643
2012,11,Massachusetts,1,26458
2012,11,Massachusetts,2,1043
2012,11,Massachusetts,3,1016
2012,11,Massachusetts,4,5551
2012,11,Massachusetts,5,3576
2012,11,Massachusetts,6,30791
2012,11,New Hampshire,1,6060
2012,11,New Hampshire,2,156
2012,11,New Hampshire,3,120
2012,11,New Hampshire,4,1321
2012,11,New Hampshire,5,704
2012,11,New Hampshire,6,5108
2012,11,Rhode Island,1,4140
2012,11,Rhode Island,2,151
2012,11,Rhode Island,3,145
2012,11,Rhode Island,4,986
2012,11,Rhode Island,5,648
2012,11,Rhode Island,6,4685
2012,11,Vermont,1,2906
2012,11,Vermont,2,65
2012,11,Vermont,3,68
2012,11,Vermont,4,664
2012,11,Vermont,5,360
2012,11,Vermont,6,2490
2012,12,New Jersey,1,36202
2012,12,New Jersey,2,1267
2012,12,New Jersey,3,1315
2012,12,New Jersey,4,6064
2012,12,New Jersey,5,5097
2012,12,New Jersey,6,38058
2012,12,New York,1,73224
2012,12,New York,2,4061
2012,12,New York,3,3916
2012,12,New York,4,14323
2012,12,New York,5,11499
2012,12,New York,6,89291
2012,12,Pennsylvania,1,54378
2012,12,Pennsylvania,2,1675
2012,12,Pennsylvania,3,1997
2012,12,Pennsylvania,4,9936
2012,12,Pennsylvania,5,8444
2012,12,Pennsylvania,6,52175
2012,21,Illinois,1,51474
2012,21,Illinois,2,1751
2012,21,Illinois,3,1573
2012,21,Illinois,4,10532
2012,21,Illinois,5,7330
2012,21,Illinois,6,54548
2012,21,Indiana,1,27160
2012,21,Indiana,2,881
2012,21,Indiana,3,727
2012,21,Indiana,4,6760
2012,21,Indiana,5,3854
2012,21,Indiana,6,26988
2012,21,Michigan,1,41676
2012,21,Michigan,2,1228
2012,21,Michigan,3,995
2012,21,Michigan,4,9369
2012,21,Michigan,5,5827
2012,21,Michigan,6,39492
2012,21,Ohio,1,47436
2012,21,Ohio,2,1531
2012,21,Ohio,3,1581
2012,21,Ohio,4,11801
2012,21,Ohio,5,7301
2012,21,Ohio,6,47601
2012,21,Wisconsin,1,26736
2012,21,Wisconsin,2,688
2012,21,Wisconsin,3,424
