YEAR,REGION,STATE,OCC2010,OCC2010_COUNTS
2011,11,Connecticut,10,237
2011,11,Connecticut,20,166
2011,11,Connecticut,30,162
2011,11,Connecticut,100,30
2011,11,Connecticut,110,117
2011,11,Connecticut,120,206
2011,11,Connecticut,130,55
2011,11,Connecticut,140,27
2011,11,Connecticut,150,30
2011,11,Connecticut,160,27
2011,11,Connecticut,205,21
2011,11,Connecticut,220,88
2011,11,Connecticut,230,155
2011,11,Connecticut,300,28
2011,11,Connecticut,310,117
2011,11,Connecticut,330,6
2011,11,Connecticut,350,98
2011,11,Connecticut,360,3
2011,11,Connecticut,410,79
2011,11,Connecticut,420,58
2011,11,Connecticut,430,547
2011,11,Connecticut,500,12
2011,11,Connecticut,520,39
2011,11,Connecticut,530,33
2011,11,Connecticut,540,61
2011,11,Connecticut,560,27
2011,11,Connecticut,600,12
2011,11,Connecticut,620,138
2011,11,Connecticut,700,9
2011,11,Connecticut,710,152
2011,11,Connecticut,720,39
2011,11,Connecticut,730,101
2011,11,Connecticut,800,408
2011,11,Connecticut,810,23
2011,11,Connecticut,820,4
2011,11,Connecticut,830,4
2011,11,Connecticut,840,24
2011,11,Connecticut,850,80
2011,11,Connecticut,860,45
2011,11,Connecticut,900,1
2011,11,Connecticut,910,43
2011,11,Connecticut,930,14
2011,11,Connecticut,940,26
2011,11,Connecticut,950,13
2011,11,Connecticut,1000,198
2011,11,Connecticut,1010,76
2011,11,Connecticut,1020,121
2011,11,Connecticut,1050,73
2011,11,Connecticut,1060,14
2011,11,Connecticut,1100,38
2011,11,Connecticut,1200,25
2011,11,Connecticut,1220,14
2011,11,Connecticut,1240,9
2011,11,Connecticut,1300,33
2011,11,Connecticut,1310,5
2011,11,Connecticut,1320,52
2011,11,Connecticut,1350,11
2011,11,Connecticut,1360,50
2011,11,Connecticut,1400,3
2011,11,Connecticut,1410,26
2011,11,Connecticut,1420,1
2011,11,Connecticut,1430,28
2011,11,Connecticut,1440,12
2011,11,Connecticut,1450,12
2011,11,Connecticut,1460,45
2011,11,Connecticut,1520,1
2011,11,Connecticut,1530,77
2011,11,Connecticut,1540,19
2011,11,Connecticut,1550,66
2011,11,Connecticut,1560,10
2011,11,Connecticut,1600,5
2011,11,Connecticut,1610,11
2011,11,Connecticut,1640,3
2011,11,Connecticut,1650,25
2011,11,Connecticut,1710,1
2011,11,Connecticut,1720,17
2011,11,Connecticut,1740,5
2011,11,Connecticut,1760,51
2011,11,Connecticut,1800,4
2011,11,Connecticut,1820,36
2011,11,Connecticut,1830,5
2011,11,Connecticut,1840,1
2011,11,Connecticut,1900,3
2011,11,Connecticut,1910,2
2011,11,Connecticut,1920,14
2011,11,Connecticut,1930,4
2011,11,Connecticut,1960,43
2011,11,Connecticut,2000,138
2011,11,Connecticut,2010,236
2011,11,Connecticut,2020,19
2011,11,Connecticut,2040,55
2011,11,Connecticut,2050,7
2011,11,Connecticut,2060,6
2011,11,Connecticut,2100,201
2011,11,Connecticut,2140,78
2011,11,Connecticut,2150,29
2011,11,Connecticut,2200,286
2011,11,Connecticut,2300,102
2011,11,Connecticut,2310,658
2011,11,Connecticut,2320,169
2011,11,Connecticut,2330,51
