YEAR,REGION,STATE,RACE,RACE_COUNTS
2011,11,Connecticut,1,29590
2011,11,Connecticut,2,3097
2011,11,Connecticut,3,90
2011,11,Connecticut,4,358
2011,11,Connecticut,5,44
2011,11,Connecticut,6,986
2011,11,Connecticut,7,1477
2011,11,Connecticut,8,826
2011,11,Connecticut,9,70
2011,11,Maine,1,12976
2011,11,Maine,2,124
2011,11,Maine,3,105
2011,11,Maine,4,33
2011,11,Maine,5,6
2011,11,Maine,6,75
2011,11,Maine,7,23
2011,11,Maine,8,211
2011,11,Maine,9,12
2011,11,Massachusetts,1,57186
2011,11,Massachusetts,2,4018
2011,11,Massachusetts,3,163
2011,11,Massachusetts,4,1375
2011,11,Massachusetts,5,77
2011,11,Massachusetts,6,2169
2011,11,Massachusetts,7,2394
2011,11,Massachusetts,8,1510
2011,11,Massachusetts,9,117
2011,11,New Hampshire,1,12942
2011,11,New Hampshire,2,101
2011,11,New Hampshire,3,32
2011,11,New Hampshire,4,46
2011,11,New Hampshire,5,2
2011,11,New Hampshire,6,185
2011,11,New Hampshire,7,49
2011,11,New Hampshire,8,218
2011,11,New Hampshire,9,9
2011,11,Rhode Island,1,9113
2011,11,Rhode Island,2,536
2011,11,Rhode Island,3,41
2011,11,Rhode Island,4,73
2011,11,Rhode Island,5,5
2011,11,Rhode Island,6,230
2011,11,Rhode Island,7,481
2011,11,Rhode Island,8,297
2011,11,Rhode Island,9,29
2011,11,Vermont,1,6335
2011,11,Vermont,2,56
2011,11,Vermont,3,30
2011,11,Vermont,4,9
2011,11,Vermont,5,1
2011,11,Vermont,6,44
2011,11,Vermont,7,9
2011,11,Vermont,8,117
2011,11,Vermont,9,7
2011,12,New Jersey,1,64259
2011,12,New Jersey,2,10937
2011,12,New Jersey,3,198
2011,12,New Jersey,4,1473
2011,12,New Jersey,5,106
2011,12,New Jersey,6,5321
2011,12,New Jersey,7,3825
2011,12,New Jersey,8,2064
2011,12,New Jersey,9,184
2011,12,New York,1,139954
2011,12,New York,2,26907
