YEAR,REGION,STATE,SEX,SEX_COUNTS
2011,11,Connecticut,1,17581
2011,11,Connecticut,2,18957
2011,11,Maine,1,6696
2011,11,Maine,2,6869
2011,11,Massachusetts,1,32995
2011,11,Massachusetts,2,36014
2011,11,New Hampshire,1,6603
2011,11,New Hampshire,2,6981
2011,11,Rhode Island,1,5148
2011,11,Rhode Island,2,5657
2011,11,Vermont,1,3180
2011,11,Vermont,2,3428
2011,12,New Jersey,1,42522
2011,12,New Jersey,2,45845
2011,12,New York,1,94903
2011,12,New York,2,102271
2011,12,Pennsylvania,1,63067
2011,12,Pennsylvania,2,66462
2011,21,Illinois,1,61819
2011,21,Illinois,2,65215
2011,21,Indiana,1,32073
2011,21,Indiana,2,33836
2011,21,Michigan,1,48940
2011,21,Michigan,2,50345
2011,21,Ohio,1,57313
2011,21,Ohio,2,61110
2011,21,Wisconsin,1,29782
2011,21,Wisconsin,2,29659
2011,22,Iowa,1,15481
2011,22,Iowa,2,15984
2011,22,Kansas,1,14150
2011,22,Kansas,2,14834
2011,22,Minnesota,1,27517
2011,22,Minnesota,2,27300
2011,22,Missouri,1,30432
2011,22,Missouri,2,31678
2011,22,Nebraska,1,9187
2011,22,Nebraska,2,9526
2011,22,North Dakota,1,3470
2011,22,North Dakota,2,3517
2011,22,South Dakota,1,4220
2011,22,South Dakota,2,4196
2011,31,Delaware,1,4272
2011,31,Delaware,2,4722
2011,31,District of Columbia,1,2878
2011,31,District of Columbia,2,3384
2011,31,Florida,1,92781
2011,31,Florida,2,98419
2011,31,Georgia,1,45386
2011,31,Georgia,2,49012
2011,31,Maryland,1,27992
2011,31,Maryland,2,30343
2011,31,North Carolina,1,46396
2011,31,North Carolina,2,49764
2011,31,South Carolina,1,22601
2011,31,South Carolina,2,24766
2011,31,Virginia,1,39753
2011,31,Virginia,2,41612
2011,31,West Virginia,1,8923
2011,31,West Virginia,2,9442
2011,32,Alabama,1,23280
2011,32,Alabama,2,25299
2011,32,Kentucky,1,21462
2011,32,Kentucky,2,22844
2011,32,Mississippi,1,13915
2011,32,Mississippi,2,15539
2011,32,Tennessee,1,30910
2011,32,Tennessee,2,32682
2011,33,Arkansas,1,14254
2011,33,Arkansas,2,15153
2011,33,Louisiana,1,21283
2011,33,Louisiana,2,23121
2011,33,Oklahoma,1,18713
2011,33,Oklahoma,2,18937
2011,33,Texas,1,120274
2011,33,Texas,2,125262
2011,41,Arizona,1,32087
2011,41,Arizona,2,32830
2011,41,Colorado,1,25105
2011,41,Colorado,2,25720
2011,41,Idaho,1,7799
2011,41,Idaho,2,7983
2011,41,Montana,1,4994
2011,41,Montana,2,4971
2011,41,Nevada,1,13075
2011,41,Nevada,2,13038
2011,41,New Mexico,1,9762
2011,41,New Mexico,2,10015
2011,41,Utah,1,13746
2011,41,Utah,2,14005
2011,41,Wyoming,1,2911
2011,41,Wyoming,2,2887
2011,42,Alaska,1,3671
2011,42,Alaska,2,3389
2011,42,California,1,182437
2011,42,California,2,186372
2011,42,Hawaii,1,7105
2011,42,Hawaii,2,7166
2011,42,Oregon,1,19306
2011,42,Oregon,2,19744
2011,42,Washington,1,34348
2011,42,Washington,2,35414
2012,11,Connecticut,1,17556
2012,11,Connecticut,2,18825
2012,11,Maine,1,6435
2012,11,Maine,2,6737
2012,11,Massachusetts,1,32781
2012,11,Massachusetts,2,35654
2012,11,New Hampshire,1,6602
2012,11,New Hampshire,2,6867
2012,11,Rhode Island,1,5073
2012,11,Rhode Island,2,5682
2012,11,Vermont,1,3196
2012,11,Vermont,2,3357
2012,12,New Jersey,1,42220
2012,12,New Jersey,2,45783
2012,12,New York,1,94400
2012,12,New York,2,101914
2012,12,Pennsylvania,1,62612
2012,12,Pennsylvania,2,65993
2012,21,Illinois,1,61666
2012,21,Illinois,2,65542
2012,21,Indiana,1,32305
2012,21,Indiana,2,34065
2012,21,Michigan,1,48295
2012,21,Michigan,2,50292
2012,21,Ohio,1,56916
2012,21,Ohio,2,60335
2012,21,Wisconsin,1,29257
2012,21,Wisconsin,2,29227
2012,22,Iowa,1,15341
2012,22,Iowa,2,16117
2012,22,Kansas,1,14380
2012,22,Kansas,2,14759
2012,22,Minnesota,1,27308
2012,22,Minnesota,2,27046
2012,22,Missouri,1,30170
2012,22,Missouri,2,31469
2012,22,Nebraska,1,9191
2012,22,Nebraska,2,9692
2012,22,North Dakota,1,3602
2012,22,North Dakota,2,3520
2012,22,South Dakota,1,4195
2012,22,South Dakota,2,4185
2012,31,Delaware,1,4226
2012,31,Delaware,2,4589
2012,31,District of Columbia,1,2941
2012,31,District of Columbia,2,3362
2012,31,Florida,1,91603
2012,31,Florida,2,98447
2012,31,Georgia,1,46623
2012,31,Georgia,2,49605
2012,31,Maryland,1,27837
2012,31,Maryland,2,30580
2012,31,North Carolina,1,47047
2012,31,North Carolina,2,50373
2012,31,South Carolina,1,22751
2012,31,South Carolina,2,24593
2012,31,Virginia,1,40466
2012,31,Virginia,2,42358
2012,31,West Virginia,1,8903
2012,31,West Virginia,2,9387
2012,32,Alabama,1,22726
2012,32,Alabama,2,25093
2012,32,Kentucky,1,21698
2012,32,Kentucky,2,22966
2012,32,Mississippi,1,13941
2012,32,Mississippi,2,15545
2012,32,Tennessee,1,31070
2012,32,Tennessee,2,33206
2012,33,Arkansas,1,14103
2012,33,Arkansas,2,15121
2012,33,Louisiana,1,21412
2012,33,Louisiana,2,23196
